player_id,position,team,p10,p25,p50,p75,p90
00-0023459,QB,PIT,126.45676402346868,144.657882273621,163.41163046942523,185.9121519561399,204.9154125583511
00-0026158,QB,CIN,4.215331749073105,9.724320409915482,17.77945001180404,28.86734510569672,41.124624884229
00-0026300,QB,CIN,0.0,0.0,1.2056806672913392,6.538562728870465,14.350292879451143
00-0026498,QB,LA,173.21360989564909,189.8316182296844,214.77125818230843,243.82365166490197,271.2121182736353
00-0027973,QB,PHI,10.233849977993566,16.39874390710251,24.75871783876053,32.835552290313295,40.503478103839036
00-0028118,QB,GB,15.946364052097197,23.007311388014976,33.29373011865893,44.68724697247379,57.51106899481942
00-0029604,QB,LV,133.89369992116858,150.6995954193182,170.4672883472266,192.65640261987775,214.41479946524763
00-0029892,RB,SF,18.846518722068858,28.454911590138565,40.72146151081912,55.972615350296046,74.80092897255236
00-0030035,WR,MIN,2.6507872025233206,9.862252509139138,24.79255912185102,49.1619038855367,76.45428000182831
00-0030506,TE,KC,93.98577078315229,119.42016054094414,154.6489316185605,191.18935875637067,230.42486389078394
00-0030565,QB,NYJ,138.4975182832333,155.03165703555806,176.44654306339632,201.1652570237513,226.10418377625098
00-0031237,QB,DET,0.0,0.0,1.0946679942090956,5.617277387430776,11.311004418409231
00-0031381,WR,LA,113.89630488110379,139.1353010970944,175.2647481300677,221.35495580660745,265.97195286376456
00-0031408,WR,SF,66.20000112433874,87.45356077350577,115.05958454490255,149.4241134567639,188.63392034355374
00-0031484,TE,NYG,0.0,0.0,0.0,6.0,12.377594560364525
00-0031503,QB,NYG,26.518555847710928,35.5365303304225,47.073273136926716,60.87793495357205,74.51013932328898
00-0031588,WR,WAS,55.78031697058784,71.72808477331421,92.61330671920516,119.29797352129737,150.54261201511991
00-0032104,RB,JAX,7.931406797985842,12.487888261864448,20.43900434507207,30.26161748977265,41.841619690620846
00-0032268,QB,WAS,23.998738347576833,32.54705940841724,43.99880930610952,57.1127015684343,70.34033109990388
