player_id,position,season,fantasy_pts,fantasy_pts_low_raw,fantasy_pts_low,fantasy_pts_high,fantasy_low_floor_applied,pg_attempts,pg_carries,pg_completions,pg_interceptions,pg_passing_tds,pg_passing_yards,pg_receiving_tds,pg_receiving_yards,pg_receptions,pg_rushing_tds,pg_rushing_yards,pg_targets,any_stat_low_n_flag,any_receiving_share_capped,any_receiving_share_normalized,display_name,team,source,low_confidence,rookie_tier,team_changed,roster_status,depth_rank,role,depth_chart_status,projected_games,projected_games_raw,role_discount_factor,role_discount_applied,nfl_depth_rank,projected_volume_games,athletic_tier,target_depth_rank,rookie_depth_band,rookie_vacancy_scale,rookie_id_unresolved,rookie_availability_cell_n,rookie_availability_fallback_used,team_pass_attempts_pg_pred,team_passing_yards_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,fantasy_pts_season,fantasy_pts_season_low,fantasy_pts_season_high
00-0036355,QB,2026,19.41012538266803,10.618597581820577,10.618597581820577,29.5110552021975,False,31.943792858604347,4.5597396963381165,21.616408563064308,0.6022775955206809,1.770574354801335,238.42407620832068,,,,0.29246591527925697,22.40624614495683,,False,False,False,Justin Herbert,LAC,veteran_model,False,,False,ACT,1.0,starter,curated,14.906977473536433,14.906977473536433,1.0,False,1.0,14.906977473536433,,,,,,,,34.81078054136303,231.00756121830653,26.604787498731607,118.73875848668648,2025.0,LAC,canonical_source_team_frame,289.3463018379501,158.2911949527478,439.92063511944826
00-0034857,QB,2026,18.955778954310393,10.164251153462939,10.164251153462939,29.05670877383986,False,27.301620770304037,6.089131560753759,16.443915400561004,0.5713656713687033,1.3594063925709843,195.94882150769033,,,,0.5665595214949763,34.23574737486391,,False,False,False,Josh Allen,BUF,veteran_model,False,,False,ACT,1.0,starter,curated,14.054539056616985,14.054539056616985,1.0,False,1.0,14.054539056616985,,,,,,,,33.21002626467289,231.99810200162543,27.995140482336904,133.52540408900225,2025.0,BUF,canonical_source_team_frame,266.41473566195367,142.85386481760912,408.37864831867773
00-0036971,QB,2026,18.71504880834977,9.923521007502318,9.923521007502318,28.815978627879243,False,30.993919803863218,3.871564184360902,20.75222034843043,0.6110947353111241,1.7967524911371808,227.14149600080856,,,,0.2975997285789055,18.78970102917523,,False,False,False,Trevor Lawrence,JAX,veteran_model,False,,False,ACT,1.0,starter,curated,15.315024381648376,15.315024381648376,1.0,False,1.0,15.315024381648376,,,,,,,,34.281611997177656,230.87870372906116,27.439030345261777,117.85703830149006,2025.0,JAX,canonical_source_team_frame,286.62142880361614,151.97896618169787,441.3174152670291
00-0039851,QB,2026,18.214899192702777,9.423371391855323,9.423371391855323,28.315829012232243,False,28.328290631767814,5.01393504386697,19.217345530610856,0.6043403509257979,1.5634447770034101,224.4557073582642,,,,0.21655824334482868,28.922230321411934,,False,False,False,Drake Maye,NE,veteran_model,False,,False,ACT,1.0,starter,curated,14.026443916982199,14.026443916982199,1.0,False,1.0,14.026443916982199,,,,,,,,33.746856976402874,243.7564166874116,26.990735238510595,121.6874228230549,2025.0,NE,canonical_source_team_frame,255.49026197992984,132.17639033675317,397.17038760293303
00-0033077,QB,2026,17.962946721607473,9.623714495639026,9.623714495639026,28.063876541136942,False,34.696495153087284,2.8175673092169427,23.30016804636849,0.6799009671070478,1.83596928110649,254.84707116891988,,,,0.09245879429666005,12.302359188588547,,False,False,False,Dak Prescott,DAL,veteran_model,False,,False,ACT,1.0,starter,curated,13.11018395144303,13.11018395144303,1.0,False,1.0,13.11018395144303,,,,,,,,34.848900159202955,250.0561914085082,26.916637322594873,120.71500490898475,2025.0,DAL,canonical_source_team_frame,235.4975358302445,126.16866733399642,367.9225838448921
00-0033873,QB,2026,17.510806647780242,8.719278846932786,8.719278846932786,27.61173646730971,False,30.862758099353805,4.563030519281061,19.850298627072608,0.6390966439840551,1.470748449873431,230.21819374255034,,,,0.19034042487712138,25.55235837289885,,False,False,False,Patrick Mahomes,KC,veteran_model,False,,False,ACT,1.0,starter,curated,15.6095133315482,15.6095133315482,1.0,False,1.0,15.6095133315482,,,,,,,,35.16438169616012,230.57945355267083,25.927946034942906,113.12705785543977,2025.0,KC,canonical_source_team_frame,273.3351698146885,136.10369940268353,431.00576849366655
00-0039139,RB,2026,17.40737258665052,12.816377337882475,12.816377337882475,23.815478719907944,False,,14.95369964851081,,,,,0.19919179087529285,35.96996027582114,4.464996384248497,0.5724221283352501,69.48194851680901,5.529489240179408,False,False,False,Jahmyr Gibbs,DET,veteran_model,False,,False,ACT,1.0,starter,curated,15.868596027890396,15.868596027890396,1.0,False,1.0,15.868596027890396,,,,,,,,33.92979712201368,246.18859977155995,26.79038838236451,118.19015619651694,2025.0,DET,canonical_source_team_frame,276.2305634845306,203.37791451586634,377.9182110170394
00-0033119,QB,2026,17.337660250545895,9.097107626036012,9.097107626036012,27.43859007007536,False,33.85916876889593,2.5788963219590406,22.615813330422256,0.6616948720638549,1.6975677667510654,254.66264193861923,,,,0.07601219405356609,12.282000858031786,,False,False,False,Jacoby Brissett,ARI,veteran_model,False,,False,ACT,1.0,starter,curated,13.779722233164795,13.779722233164795,1.0,False,1.0,13.779722233164795,,,,,,,,36.213963863137224,240.76907152016224,24.989656676740175,107.79270996792926,2025.0,ARI,canonical_source_team_frame,238.9081424255048,125.35561621198144,378.0961496353122
00-0039732,QB,2026,17.305317891863552,8.513790091016098,8.513790091016098,27.40624771139302,False,30.576892542581994,4.040699263198057,20.749102258832345,0.6256326707288247,1.616233432609742,225.36297649621113,,,,0.20374080063152353,18.54685639244647,,False,False,False,Bo Nix,DEN,veteran_model,False,,False,ACT,1.0,starter,curated,15.44054459068686,15.44054459068686,1.0,False,1.0,15.44054459068686,,,,,,,,34.86578769636352,230.0781619883208,26.560893200255975,117.8845379552942,2025.0,DEN,canonical_source_team_frame,267.2035325653303,131.457555536082,423.16738985117365
00-0033280,RB,2026,16.756130362593915,12.165135113825865,12.165135113825865,23.164236495851334,False,,16.553919578806553,,,,,0.19913196591739085,33.59122307419014,4.262658893307192,0.561369297772601,67.02671026381353,5.3018163719955185,False,False,False,Christian McCaffrey,SF,veteran_model,False,,False,ACT,1.0,starter,curated,14.327519120543409,14.327519120543409,1.0,False,1.0,14.327519120543409,,,,,,,,34.24811794566182,240.12307936832372,26.942362571611483,112.84801793050981,2025.0,SF,canonical_source_team_frame,240.07377815638228,174.2962059473341,331.88604130709945
