player_id,display_name,preseason_team,preseason_position,preseason_status,season,roster_week,is_rookie,population_source,model_forecast_points,projected_games,projected_volume_games,depth_tier,forecast_component_count,forecast_expected_component_count,forecast_covered,model_points_end_to_end,carry_forward_points,source_games_played,availability_adjusted_points,attempts,carries,completions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,targets,actual_games_played,actual_row_present,actual_played,actual_points,actual_zero_game_outcome,actual_zero_point_outcome,actual_position_finish,model_position_rank,carry_forward_position_rank,availability_adjusted_position_rank
00-0031236,Brandin Cooks,NO,WR,ACT,2025,1,False,week1_roster_veteran,32.83045276697106,13.824059177969051,17.0,3.0,4.0,4.0,True,32.83045276697106,56.6,10.0,96.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,24.0,0.0,0.0,36.0,15.0,True,True,39.900000000000006,False,False,111.0,109.0,93.0,81.0
00-0031237,Teddy Bridgewater,TB,QB,ACT,2025,1,False,week1_roster_veteran,,,,,,,False,0.0,0.0,,0.0,17.0,3.0,8.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,True,True,2.88,False,False,65.0,99.5,85.5,85.5
00-0031345,Jimmy Garoppolo,LA,QB,ACT,2025,1,False,week1_roster_veteran,58.97454180996159,4.6534629613450695,17.0,2.0,8.0,8.0,True,58.97454180996159,19.86,1.0,337.62,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,3.0,True,True,-1.0,False,False,107.0,35.0,52.0,8.0
00-0031381,Davante Adams,LA,WR,ACT,2025,1,False,week1_roster_veteran,146.15726467477722,14.412029515336046,17.0,2.0,4.0,4.0,True,146.15726467477722,196.8,14.0,238.9714285714286,0.0,0.0,0.0,0.0,0.0,0.0,14.0,789.0,60.0,0.0,0.0,114.0,14.0,True,True,192.9,False,False,8.0,27.0,14.0,12.0
00-0031408,Mike Evans,TB,WR,ACT,2025,1,False,week1_roster_veteran,153.31090669007634,14.348781345377892,17.0,1.0,4.0,4.0,True,153.31090669007634,203.4,14.0,246.9857142857143,0.0,0.0,0.0,0.0,0.0,0.0,3.0,368.0,30.0,0.0,0.0,62.0,8.0,True,True,69.80000000000001,False,False,76.0,20.0,9.5,8.0
00-0031484,Chris Manhertz,NYG,TE,ACT,2025,1,False,week1_roster_veteran,9.357648757924,2.039975424921263,17.0,5.0,4.0,4.0,True,9.357648757924,10.5,17.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,17.0,True,True,1.2000000000000002,False,False,112.0,103.0,77.0,82.0
00-0031503,Jameis Winston,NYG,QB,ACT,2025,1,False,week1_roster_veteran,16.737060297277647,5.991957137718131,17.0,2.0,8.0,8.0,True,16.737060297277647,127.14,12.0,180.115,69.0,7.0,37.0,2.0,2.0,567.0,1.0,33.0,1.0,1.0,23.0,1.0,3.0,True,True,44.78,False,False,46.0,64.0,29.0,43.0
00-0031588,Stefon Diggs,NE,WR,ACT,2025,1,False,week1_roster_veteran,121.05131144780566,14.679154228022549,17.0,1.0,4.0,4.0,True,121.05131144780566,98.42,8.0,209.1425,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1013.0,85.0,0.0,0.0,102.0,17.0,True,True,167.8,False,False,18.0,41.0,64.0,19.0
00-0031595,Michael Burton,DEN,RB,RES,2025,1,False,week1_roster_veteran,,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,161.0,171.0,146.0,146.0
00-0031610,Darren Waller,MIA,TE,INA,2025,1,False,week1_roster_veteran,,,,,,,False,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,283.0,24.0,0.0,4.0,35.0,9.0,True,True,76.7,False,False,30.0,155.5,132.5,132.5
00-0031687,Raheem Mostert,LV,RB,INA,2025,1,False,week1_roster_veteran,65.9706633293673,12.646800561369647,17.0,2.0,7.0,7.0,True,65.9706633293673,65.4,13.0,85.52307692307694,0.0,22.0,0.0,0.0,0.0,0.0,0.0,70.0,12.0,0.0,104.0,12.0,12.0,True,True,23.4,False,False,84.0,63.0,52.0,56.0
00-0031763,DeAndre Carter,CLE,WR,ACT,2025,1,False,week1_roster_veteran,14.621946505949396,8.299959738821947,17.0,4.0,4.0,4.0,True,14.621946505949396,11.7,9.0,22.099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,254.5,171.0,144.0,143.0
00-0032156,Trevor Siemian,TEN,QB,DEV,2025,1,False,week1_roster_veteran,,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,87.0,99.5,85.5,85.5
00-0032208,Phillip Dorsett,LV,WR,DEV,2025,1,False,week1_roster_veteran,,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,254.5,284.0,238.5,238.5
00-0032211,Tyler Lockett,TEN,WR,ACT,2025,1,False,week1_roster_veteran,56.96355092085999,15.032485325474791,17.0,2.0,4.0,4.0,True,56.96355092085999,96.5,17.0,96.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,291.0,32.0,0.0,0.0,56.0,17.0,True,True,51.1,False,False,94.0,73.0,67.0,80.0
00-0032268,Marcus Mariota,WAS,QB,ACT,2025,1,False,week1_roster_veteran,16.675081839362605,3.3146378087998642,17.0,2.0,8.0,8.0,True,16.675081839362605,45.760000000000005,3.0,259.30666666666673,246.0,50.0,139.0,7.0,10.0,1695.0,0.0,0.0,0.0,1.0,297.0,0.0,11.0,True,True,129.5,False,False,31.0,65.0,45.0,20.0
00-0032385,Sterling Shepard,TB,WR,ACT,2025,1,False,week1_roster_veteran,22.993896788682495,11.05918000288608,17.0,4.0,4.0,4.0,True,22.993896788682495,62.3,14.0,75.65,0.0,4.0,0.0,0.0,0.0,0.0,1.0,371.0,39.0,0.0,19.0,54.0,13.0,True,True,64.5,False,False,80.5,139.0,91.0,97.0
00-0032392,Austin Hooper,NE,TE,ACT,2025,1,False,week1_roster_veteran,63.74190010209966,14.690387628861794,17.0,2.0,4.0,4.0,True,63.74190010209966,88.1,17.0,88.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,263.0,21.0,0.0,0.0,26.0,16.0,True,True,48.8,False,False,47.0,28.0,22.0,30.0
00-0032394,Nick Vannett,MIN,TE,DEV,2025,1,False,week1_roster_veteran,19.70368068281524,1.9275288649920819,17.0,5.0,4.0,4.0,True,19.70368068281524,40.0,17.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,True,True,0.0,False,True,142.0,79.0,43.0,47.0
00-0032398,Chris Moore,WAS,WR,ACT,2025,1,False,week1_roster_veteran,10.159297292922343,1.1581200370926519,17.0,4.0,4.0,4.0,True,10.159297292922343,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,207.0,11.0,0.0,9.0,23.0,14.0,True,True,33.1,False,False,120.0,203.0,238.5,238.5
