player_id,display_name,preseason_team,preseason_position,preseason_status,season,roster_week,is_rookie,population_source,model_forecast_points,model_rate_points,projected_games,projected_volume_games,depth_tier,forecast_component_count,forecast_expected_component_count,forecast_covered,model_points_end_to_end,carry_forward_points,source_games_played,availability_adjusted_points,attempts,carries,completions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,targets,actual_games_played,actual_row_present,actual_played,actual_points,actual_zero_game_outcome,actual_zero_point_outcome,actual_rate_points,actual_position_finish,model_position_rank,carry_forward_position_rank,availability_adjusted_position_rank
00-0036657,Seth Williams,JAX,WR,DEV,2023,1,False,week1_roster_veteran,,0.0,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,254.0,287.5,245.0,245.0
00-0036670,Jermar Jefferson,DET,RB,RES,2023,1,False,week1_roster_veteran,,0.0,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,151.5,167.5,148.5,148.5
00-0036671,Dax Milne,WAS,WR,RES,2023,1,False,week1_roster_veteran,4.959760082776924,0.29664675792982925,1.1777455584400571,17.0,5.0,4.0,4.0,True,4.959760082776924,12.7,13.0,16.607692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,254.0,242.0,139.0,152.0
00-0036674,Josh Pederson,JAX,TE,DEV,2023,1,False,week1_roster_veteran,,0.0,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True,True,0.0,False,True,0.0,140.5,154.0,134.5,134.5
00-0036676,Austin Watkins,CLE,WR,DEV,2023,1,False,week1_roster_veteran,,0.0,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,254.0,287.5,245.0,245.0
00-0036679,Shane Buechele,BUF,QB,DEV,2023,1,False,week1_roster_veteran,,0.0,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,83.0,94.5,82.0,82.0
00-0036727,Adam Prentice,NO,RB,ACT,2023,1,False,week1_roster_veteran,,0.0,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,151.5,167.5,148.5,148.5
00-0036741,Jack Stoll,PHI,TE,ACT,2023,1,False,week1_roster_veteran,23.63103606266295,1.601338926096454,14.741877647791178,17.0,2.0,4.0,4.0,True,23.63103606266295,17.8,17.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,0.0,0.0,8.0,17.0,True,True,6.300000000000001,False,False,0.37058823529411766,91.0,88.0,72.5,77.5
00-0036754,Brock Wright,DET,TE,ACT,2023,1,False,week1_roster_veteran,50.60560926998674,3.1555980778311303,16.900894303696216,17.0,1.0,4.0,4.0,True,50.60560926998674,54.6,17.0,54.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0,13.0,0.0,0.0,14.0,14.0,True,True,21.6,False,False,1.542857142857143,65.0,40.0,37.0,44.0
00-0036779,Hunter Kampmoyer,LAC,TE,DEV,2023,1,False,week1_roster_veteran,,0.0,,,,,,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,False,True,0.0,140.5,154.0,134.5,134.5
