player_id,display_name,team,position,stat,pred_pg,pred_pg_low,pred_pg_high,pred_season,pred_season_low,pred_season_high,source,low_confidence,rookie_tier,interval_low_n_flag,season,team_changed,roster_status,depth_rank,role,formation_role,depth_chart_status,role_discount_applied,nfl_depth_rank,depth_tier,depth_tier_source,team_volume_scale,concentration_scale,concentration_calibration_version,projection_run_id,composition_version,role_discount_factor,athletic_tier,receiving_share_capped,receiving_share_normalized,elite_correction_pg,projected_games,projected_games_raw,projected_volume_games,status_override_applied,team_pass_attempts_pg_pred,team_passing_yards_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,target_depth_rank,rookie_depth_band,rookie_availability_cell_n,rookie_availability_fallback_used,rookie_vacancy_scale,rookie_id_unresolved,stat_constraint_applied,td_rate_clip_applied,sentiment_score,sentiment_feature,sentiment_confidence,sentiment_coverage,sentiment_as_of,sentiment_claim_count,sentiment_source_count,sentiment_model_active,sentiment_version
00-0035289,Gardner Minshew,ARI,QB,completions,1.0247040844041928,0.0,2.9524167671987,18.824287309783035,0.0,54.237259643874744,veteran_model,False,,False,2026,True,ACT,2.0,backup,,curated,False,2.0,2.0,curated,0.3092713809270464,1.0,not_applicable,b33c07a5-2a6e-4475-acb4-532cd9c99d21,healthy17_qbroom_concentration_v1,1.0,,,,,17.0,3.0833462009484633,17.0,False,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,,,,,,,False,False,-40.0,-0.44635630083544886,0.75,medium,2026-08-26,1,1,False,markdown_market_v1
00-0035289,Gardner Minshew,ARI,QB,interceptions,0.013168089724406036,0.0,0.10568846451836397,0.2238575253149026,0.0,1.7967038968121876,veteran_model,False,,False,2026,True,ACT,2.0,backup,,curated,False,2.0,2.0,curated,0.3092713809270464,1.0,not_applicable,b33c07a5-2a6e-4475-acb4-532cd9c99d21,healthy17_qbroom_concentration_v1,1.0,,,,,17.0,3.0833462009484633,17.0,False,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,,,,,,,False,False,-40.0,-0.44635630083544886,0.75,medium,2026-08-26,1,1,False,markdown_market_v1
00-0035289,Gardner Minshew,ARI,QB,passing_tds,0.10270034076178203,0.0,0.3226731291744341,1.8430311334434841,0.0,5.790600289959486,veteran_model,False,,False,2026,True,ACT,2.0,backup,,curated,False,2.0,2.0,curated,1.0,1.0,not_applicable,b33c07a5-2a6e-4475-acb4-532cd9c99d21,healthy17_qbroom_concentration_v1,1.0,,,,,17.0,3.0833462009484633,17.0,False,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,,,,,,,False,True,-40.0,-0.44635630083544886,0.75,medium,2026-08-26,1,1,False,markdown_market_v1
00-0035289,Gardner Minshew,ARI,QB,passing_yards,3.905872555299879,0.0,15.749995415678594,72.62435778243828,0.0,292.84962218952523,veteran_model,False,,False,2026,True,ACT,2.0,backup,,curated,False,2.0,2.0,curated,0.15,1.0,not_applicable,b33c07a5-2a6e-4475-acb4-532cd9c99d21,healthy17_qbroom_concentration_v1,1.0,,,,,17.0,3.0833462009484633,17.0,False,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,,,,,,,False,False,-40.0,-0.44635630083544886,0.75,medium,2026-08-26,1,1,False,markdown_market_v1
00-0035289,Gardner Minshew,ARI,QB,rushing_tds,0.010847150144857159,0.0,0.0914455214515,0.1844015524625717,0.0,1.5545738646755,veteran_model,False,,False,2026,True,ACT,2.0,backup,,curated,False,2.0,2.0,curated,1.0,1.0,not_applicable,b33c07a5-2a6e-4475-acb4-532cd9c99d21,healthy17_qbroom_concentration_v1,1.0,,,,,17.0,3.0833462009484633,17.0,False,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,,,,,,,False,False,-40.0,-0.44635630083544886,0.75,medium,2026-08-26,1,1,False,markdown_market_v1
00-0035289,Gardner Minshew,ARI,QB,rushing_yards,1.5297729561669855,0.0,8.165740553869837,26.006140254838755,0.0,138.8175894157872,veteran_model,False,,False,2026,True,ACT,2.0,backup,,curated,False,2.0,2.0,curated,1.0,1.0,not_applicable,b33c07a5-2a6e-4475-acb4-532cd9c99d21,healthy17_qbroom_concentration_v1,1.0,,,,,17.0,3.0833462009484633,17.0,False,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,,,,,,,False,False,-40.0,-0.44635630083544886,0.75,medium,2026-08-26,1,1,False,markdown_market_v1
00-0039577,Kedon Slovis,ARI,QB,attempts,0.5888667413979958,0.0,3.824651073098468,10.613958897351601,0.0,68.93697068067596,veteran_model,True,,False,2026,False,ACT,,deep_bench,,deep_bench_discounted,False,4.0,4.0,nflverse,0.3092713809270464,1.0,not_applicable,b33c07a5-2a6e-4475-acb4-532cd9c99d21,healthy17_qbroom_concentration_v1,1.0,,,,,17.0,0.6186026500124635,17.0,False,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,,,,,,,False,False,,,0.0,none,2026-08-26,0,0,False,markdown_market_v1
00-0039577,Kedon Slovis,ARI,QB,carries,0.18699904342870696,0.0,1.3872279861490495,3.1789837382880184,0.0,23.582875764533842,veteran_model,True,,False,2026,False,ACT,,deep_bench,,deep_bench_discounted,False,4.0,4.0,nflverse,1.0,1.0,not_applicable,b33c07a5-2a6e-4475-acb4-532cd9c99d21,healthy17_qbroom_concentration_v1,1.0,,,,,17.0,0.6186026500124635,17.0,False,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,,,,,,,False,False,,,0.0,none,2026-08-26,0,0,False,markdown_market_v1
00-0039577,Kedon Slovis,ARI,QB,completions,0.4560460239599558,0.0,2.410871143762777,8.377776093766569,0.0,44.288816418101185,veteran_model,True,,False,2026,False,ACT,,deep_bench,,deep_bench_discounted,False,4.0,4.0,nflverse,0.3092713809270464,1.0,not_applicable,b33c07a5-2a6e-4475-acb4-532cd9c99d21,healthy17_qbroom_concentration_v1,1.0,,,,,17.0,0.6186026500124635,17.0,False,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,,,,,,,False,False,,,0.0,none,2026-08-26,0,0,False,markdown_market_v1
00-0039577,Kedon Slovis,ARI,QB,interceptions,0.013576580485595175,0.0,0.1060969552795531,0.23080186825511798,0.0,1.8036482397524027,veteran_model,True,,False,2026,False,ACT,,deep_bench,,deep_bench_discounted,False,4.0,4.0,nflverse,0.3092713809270464,1.0,not_applicable,b33c07a5-2a6e-4475-acb4-532cd9c99d21,healthy17_qbroom_concentration_v1,1.0,,,,,17.0,0.6186026500124635,17.0,False,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,,,,,,,False,False,,,0.0,none,2026-08-26,0,0,False,markdown_market_v1
