player_id,display_name,team,position,week,opponent,is_home,is_bye,A_i_w,available_at,attempts,targets,carries,receiving_yards,rushing_yards,fantasy_points
00-0039875,Ray Davis,BUF,RB,2,DET,1.0,0,1.0,2026-08-30T00:00:00+00:00,0.0,1.4088313926693918,4.4080805513531605,9.377661463117906,18.034572411060715,3.9986309132173528
00-0035537,Ty Johnson,BUF,RB,2,DET,1.0,0,1.0,2026-08-30T00:00:00+00:00,0.0,1.676686661937654,2.739741792165058,9.663059733717335,14.852269803197421,3.7591232515676136
00-0035689,Dawson Knox,BUF,TE,2,DET,1.0,0,1.0,2026-08-30T00:00:00+00:00,0.0,1.9543209024506707,0.0,15.081451035950776,0.0,2.870573675007623
00-0036988,Josh Palmer,BUF,WR,2,DET,1.0,0,1.0,2026-08-30T00:00:00+00:00,0.0,1.7087524620111307,0.0,12.307210490827998,0.0,2.114641889709262
00-0038679,Tyrell Shavers,BUF,WR,2,DET,1.0,0,1.0,2026-08-30T00:00:00+00:00,0.0,0.9323437894926662,0.0,12.124096613062708,0.0,1.8323376916886946
00-0040194,Jackson Hawes,BUF,TE,2,DET,1.0,0,1.0,2026-08-30T00:00:00+00:00,0.0,0.7896293958913291,0.0,6.94432734158251,0.0,1.4035394572651212
00-0034577,Kyle Allen,BUF,QB,2,DET,1.0,0,1.0,2026-08-30T00:00:00+00:00,2.3201928333602475,0.0,0.38611607563214045,0.0,0.8611834813848377,0.8599635656710164
00-0041443,Skyler Bell,BUF,WR,2,DET,1.0,0,1.0,2026-08-30T00:00:00+00:00,0.0,0.5828380302388542,0.0,4.47720501753295,0.0,0.7812702951760305
00-0036679,Shane Buechele,BUF,QB,2,DET,1.0,0,1.0,2026-08-30T00:00:00+00:00,1.3570608217857507,0.0,0.2527048719628588,0.0,0.8611834813848377,0.7140494670681349
00-0035140,Mecole Hardman,BUF,WR,2,DET,1.0,0,1.0,2026-08-30T00:00:00+00:00,0.0,0.4921873149148162,0.0,3.4851818731049664,0.0,0.5821784198621817
00-0034487,Trent Sherfield,BUF,WR,2,DET,1.0,0,1.0,2026-08-30T00:00:00+00:00,0.0,0.3170051072078338,0.0,3.273424697060259,0.0,0.5442348766680768
