player_id,position,team,p10,p25,p50,p75,p90
00-0023459,QB,PIT,29.69540166002122,97.87101205330805,183.87530874768828,240.8110354638906,302.4818425115726
00-0026158,QB,CIN,0.0,0.0,3.5925014883296837,36.92126816234994,87.50358998194113
00-0026300,QB,CIN,0.0,0.0,1.6221690977788932,40.848705506953394,85.53325759139034
00-0026498,QB,LA,70.4766098331055,140.5086951794574,225.72203835954562,283.51716489148316,345.1879719391652
00-0027973,QB,PHI,0.0,0.0,0.0,45.486133383669554,84.0199803419297
00-0028118,QB,GB,0.0,0.0,2.887596502649359,41.976797320738015,86.66134940517496
00-0029604,QB,LV,47.98125608722157,118.01334143357347,203.2266846136617,258.8344152657029,322.0749905929692
00-0029892,RB,SF,0.0,0.0,0.0,13.868231459441724,34.19910442617541
00-0030035,WR,MIN,0.0,0.0,0.0,8.127485546145195,40.26894307868928
00-0030506,TE,KC,153.30253955795087,169.96453288521215,192.26859611781683,221.13588868104924,245.9234157140311
00-0030565,QB,NYJ,64.19512237770033,134.29565402549548,219.44055090414045,277.235677436078,338.90648448376004
00-0031237,QB,DET,0.0,0.0,0.0,33.32876667402026,83.91108849361144
00-0031381,WR,LA,120.5894721205392,154.7440402578182,192.878326926783,235.84895879398803,272.3572021658685
00-0031408,WR,SF,44.38164479877926,81.57376916000727,119.70805582897208,163.37227664026437,199.55800510101187
00-0031484,TE,NYG,0.0,0.0,0.0,3.3222134648246464,19.527585096040575
00-0031503,QB,NYG,0.0,0.0,6.069334982662747,45.295871391837245,89.9804234762742
00-0031588,WR,WAS,104.15570235362802,115.4518780509608,133.92565221864697,160.4418524882371,190.36628493703498
00-0032104,RB,JAX,0.0,0.0,0.0,11.966428393366344,34.19910442617541
00-0032268,QB,WAS,0.0,0.0,8.888048281047604,42.21681495506786,90.04068891224657
00-0032392,TE,ATL,0.0,0.0,10.891668617998985,27.052906363714744,45.132472426666524
00-0032434,QB,NYG,0.0,0.0,0.0,39.089200818088656,83.7737529025256
00-0032464,WR,CHI,0.0,5.145297186884999,23.034517116191974,49.55071738578208,79.47514983457997
00-0032764,RB,BAL,174.50876892817627,220.16856986577972,277.980527570614,343.5454439000268,383.0075771382765
00-0032775,WR,SF,0.0,0.0,0.0,8.359196399182718,39.99055225661619
00-0032918,RB,MIN,0.0,0.0,0.0,13.868231459441724,34.7263378293025
00-0032950,QB,MIN,0.0,0.0,0.2663514770758222,39.35555229516448,84.04010437960142
00-0032951,WR,IND,0.0,0.0,0.0,8.359196399182718,40.5006539317268
00-0033077,QB,DAL,117.97030606012817,186.145916453415,272.1502131477952,329.0859398639975,390.75674691167956
00-0033090,TE,NE,103.15913157700874,119.24502422027362,138.70150372133338,170.9924807001071,197.3630359996642
00-0033106,QB,DET,107.09011520045243,177.12220054680432,260.64815475032293,317.9432743789337,381.1838497062
00-0033110,TE,LA,7.489536910067162,17.91285282860973,29.381405222874456,45.542642968590215,63.622209031542
00-0033119,QB,ARI,132.17430368245715,202.2748353302523,286.5760377206125,343.0274628609385,406.26803818820474
00-0033217,TE,IND,0.0,10.244820959804251,22.064998660749936,38.32398213029387,62.544277439384786
00-0033246,TE,PHI,0.0,0.0,6.9960336596107044,23.354994517467837,41.14259696597963
00-0033280,RB,SF,213.34505594260372,252.1830931017071,310.66051851330394,373.75342324112285,415.02210037420383
00-0033288,TE,SF,126.1396020313828,142.22549467464768,165.10565859124875,193.97295115448117,220.34350645403828
00-0033293,RB,MIN,62.70102953785218,110.62829307204224,166.83825588705247,231.73770450970272,272.13820781364234
00-0033307,WR,ARI,12.968389718819118,24.428930935670607,42.338364536243134,69.9332078817466,99.6182869093201
00-0033319,QB,JAX,0.0,0.0,0.43968077666690497,39.52888159475556,84.2134336791925
00-0033375,WR,NYJ,0.0,0.0,0.0,8.364971129561264,37.86414688177008
00-0033376,RB,NYG,0.0,0.0,0.0,13.868231459441724,39.47143845742711
00-0033455,TE,WAS,0.0,0.0,0.0,3.3321217371296634,22.237962442385573
00-0033526,RB,CIN,1.9908289681574303,34.68185182599565,66.33434729915965,90.80998439855216,134.51806808985398
00-0033553,RB,ARI,0.0,0.0,3.1690868909752536,27.013566613687455,70.86636142618744
00-0033555,WR,NE,0.0,0.0,3.018177004618729,10.584176945001836,43.014503991613466
00-0033576,TE,SEA,0.0,0.0,4.058412529078447,20.317395998622388,44.537691307713295
00-0033589,WR,CAR,0.0,0.0,0.0,7.204194499129416,40.04486255476718
00-0033757,TE,PIT,0.0,0.0,0.0,16.45320136015575,40.381533054806674
00-0033857,WR,NYG,0.0,0.0,0.0,7.204194499129416,40.04486255476718
00-0033869,QB,TEN,0.0,0.0,0.7133239837157936,39.939860392890296,84.62441247732724
00-0033873,QB,KC,137.1949586249674,207.29549027276255,293.2997869671428,353.2519248525373,411.9063207310271
00-0033881,TE,DEN,56.37677898632208,68.86896890813395,80.16779997330636,96.6210013334621,120.54933302811304
00-0033885,TE,LAC,0.0,0.0,11.34199575084374,27.5032334965595,51.72352880565042
00-0033906,RB,NO,77.20582141102753,110.50489789025315,140.68587708439554,164.67197949232917,208.38006318363102
00-0033908,WR,SEA,22.758274584566756,34.63900452027873,52.52822444958571,79.72309274749423,108.96885716797371
00-0033921,WR,TB,27.733475897113344,39.19401711396483,57.503425762132295,84.0196260317224,113.94405848052028
00-0033949,QB,DET,0.0,0.0,0.9073133673147502,34.23608004133501,84.8184018609262
00-0033955,RB,WAS,0.0,0.0,3.0154087604000317,16.94970519522493,44.35210266916293
00-0034270,TE,DET,0.0,0.0,2.4331775412525642,18.7921383991097,42.72047009376062
00-0034272,WR,DAL,0.0,0.0,0.0,7.068324783351121,39.99632698699474
00-0034348,WR,DEN,137.6294232282908,171.78399136556976,211.3190390522818,253.58249884582688,289.3971532736201
00-0034351,TE,PHI,108.46306697115233,124.35061027113372,146.6546735037384,175.5219660669708,201.8925213665279
00-0034365,TE,LV,0.0,0.0,0.0,16.16123774571576,34.24080380866754
00-0034383,TE,HOU,103.06331070685077,118.89431127971943,138.6027784574389,169.8449080172474,197.26721512950624
