player_id,position,team,p10,p25,p50,p75,p90
00-0023459,QB,PIT,88.57087577119717,156.746486164484,242.75078285886423,299.68650957506657,361.35731662274856
00-0026158,QB,CIN,7.2213111375483665,7.2213111375483665,10.81381262587805,44.14257929989831,94.72490111948949
00-0026300,QB,CIN,4.119123011629273,4.119123011629273,5.741292109408166,44.967828518582664,89.65238060301961
00-0026498,QB,LA,124.6864713550606,194.7185567014125,279.9318998815007,337.72702641343824,399.3978334611203
00-0027973,QB,PHI,12.104542280840231,12.104542280840231,12.104542280840231,57.59067566450979,96.12452262276993
00-0028118,QB,GB,14.917714365090745,14.917714365090745,17.805310867740104,56.89451168582876,101.5790637702657
00-0029604,QB,LV,56.73311471332474,126.76520005967664,211.97854323976486,267.58627389180606,330.82684921907236
00-0029892,RB,SF,44.36281458154451,44.36281458154451,44.36281458154451,58.231046040986236,78.56191900771992
00-0030035,WR,MIN,29.35669986065325,29.35669986065325,29.35669986065325,43.17342528910008,97.81390309442503
00-0030506,TE,KC,115.68335259581434,132.34534592307563,154.6494091556803,183.5167017189127,208.30422875189458
00-0030565,QB,NYJ,80.95265922622133,151.05319087401648,236.19808775266145,293.993214284599,355.66402133228104
00-0031237,QB,DET,2.2524259722428495,2.2524259722428495,2.2524259722428495,35.581192646263105,86.16351446585429
00-0031381,WR,LA,27.512664088265637,85.57542992163994,150.40371725888008,223.45379143312863,285.51780516532546
00-0031408,WR,SF,0.7313723088763311,63.957983722963945,128.78627106020411,203.01544643940102,264.5311848226718
00-0031484,TE,NYG,4.384788100199883,4.384788100199883,4.384788100199883,7.70700156502453,23.91237319624046
00-0031503,QB,NYG,18.231795388375424,18.231795388375424,24.30113037103817,63.52766678021267,108.21221886464961
00-0031588,WR,WAS,50.43128111194529,69.63477979741103,101.04019588247752,146.1177363407807,196.98927150373711
00-0032104,RB,JAX,21.896211945283866,21.896211945283866,21.896211945283866,33.86264033865021,56.095316371459276
00-0032268,QB,WAS,15.316133805046844,15.316133805046844,24.20418208609445,57.53294876011471,105.35682271729341
00-0032392,TE,ATL,32.271001737856324,32.271001737856324,43.162670355855305,59.323908101571064,77.40347416452283
00-0032434,QB,NYG,11.224164960245558,11.224164960245558,11.224164960245558,50.313365778334216,94.99791786277116
00-0032464,WR,CHI,0.0,0.0,26.307719065066017,71.3852595233692,122.2567946863256
00-0032764,RB,BAL,143.19481799685713,188.85461893446058,246.66657663929487,312.23149296870764,351.69362620695733
00-0032775,WR,SF,34.28100885203469,34.28100885203469,34.28100885203469,48.49164273064531,102.2649476882822
00-0032918,RB,MIN,15.952423072700658,15.952423072700658,15.952423072700658,29.82065453214238,50.678760902003155
00-0032950,QB,MIN,8.079794207907167,8.079794207907167,8.34614568498299,47.43534650307164,92.11989858750859
00-0032951,WR,IND,10.45366142590752,10.45366142590752,10.45366142590752,24.66429530451814,79.30477310984307
00-0033077,QB,DAL,145.56657551726482,213.74218591055165,299.7464826049319,356.68220932113417,418.3530163688162
00-0033090,TE,NE,77.9587317921837,94.04462443544858,113.50110393650834,145.79208091528207,172.16263621483915
00-0033106,QB,DET,138.17719292321817,208.20927826957006,291.7352324730887,349.03035210169946,412.27092742896576
00-0033110,TE,LA,15.30794503389259,25.731260952435157,37.199813346699884,53.36105109241564,71.44061715536742
00-0033119,QB,ARI,130.56274195688133,200.66327360467648,284.96447599503665,341.4159011353627,404.6564764626289
00-0033217,TE,IND,1.1647423422149359,11.409563302019187,23.22974100296487,39.48872447250881,63.70901978159972
00-0033246,TE,PHI,6.146598221750946,6.146598221750946,13.14263188136165,29.501592739218786,47.28919518773058
00-0033280,RB,SF,143.69235253976478,182.53038969886816,241.007815110465,304.1007198382839,345.3693969713649
00-0033288,TE,SF,55.903799370184444,71.98969201344933,94.8698559300504,123.73714849328282,150.1077037928399
00-0033293,RB,MIN,20.715358456449664,68.64262199063973,124.85258480564995,189.7520334283002,230.1525367322398
00-0033307,WR,ARI,0.0,17.126939211034795,47.57297633200809,94.48421001936399,144.94884436623892
00-0033319,QB,JAX,3.8868376934570046,3.8868376934570046,4.32651847012391,43.415719288212564,88.10027137264952
00-0033375,WR,NYJ,21.06094087653163,21.06094087653163,21.06094087653163,35.28139179678578,85.42999057554077
00-0033376,RB,NYG,13.44970422149886,13.44970422149886,13.44970422149886,27.317935680940586,52.921142678925975
00-0033455,TE,WAS,11.182837489730208,11.182837489730208,11.182837489730208,14.51495922685987,33.420799932115784
00-0033526,RB,CIN,13.02686157338566,45.71788443122388,77.37037990438787,101.84601700378039,145.5541006950822
00-0033553,RB,ARI,75.39766812681246,75.39766812681246,78.56675501778771,102.4112347404999,146.2640295529999
00-0033555,WR,NE,47.43057612134613,47.43057612134613,52.56147702919797,65.42367692784926,120.55523290708902
00-0033576,TE,SEA,9.04073250586259,9.04073250586259,13.099145034941037,29.35812850448498,53.57842381357589
00-0033589,WR,CAR,8.463057516076084,8.463057516076084,8.463057516076084,20.71018816459609,76.53932385918029
00-0033757,TE,PIT,5.939112883993458,5.939112883993458,5.939112883993458,22.392314244149205,46.32064593880013
00-0033857,WR,NYG,30.435854406625335,30.435854406625335,30.435854406625335,42.682985055145345,98.51212074972953
00-0033869,QB,TEN,7.593965386138443,7.593965386138443,8.307289369854237,47.53382577902874,92.21837786346568
00-0033873,QB,KC,177.16119112575842,247.26172277355357,333.2660194679338,393.2181573533283,451.87255323181813
00-0033881,TE,DEN,40.23876378487154,52.73095370668341,64.02978477185582,80.48298613201156,104.4113178266625
00-0033885,TE,LAC,32.368534927856956,32.368534927856956,43.71053067870069,59.87176842441645,84.09206373350737
00-0033906,RB,NO,61.241589315807204,94.54066579503282,124.72164498917522,148.70774739710885,192.4158310884107
00-0033908,WR,SEA,4.402045289722416,24.599286180432774,55.01096006025463,101.24223616669913,150.96003568151423
00-0033921,WR,TB,63.01880853495468,82.5017286036022,113.6277233054869,158.70526376379007,209.57679892674648
00-0033949,QB,DET,13.107725238318992,13.107725238318992,14.015038605633741,47.343805279654,97.92612709924518
00-0033955,RB,WAS,30.46607453814484,30.46607453814484,33.48148329854487,47.415779733369774,74.81817720730777
00-0034270,TE,DET,19.864766431192614,19.864766431192614,22.29794397244518,38.65690483030231,62.58523652495323
00-0034272,WR,DAL,18.984831026513486,18.984831026513486,18.984831026513486,31.000983158210392,86.97858690440454
00-0034348,WR,DEN,25.09220468025866,83.15497051363292,150.36455158104337,222.21243323007002,283.0973457573185
00-0034351,TE,PHI,94.73177947374327,110.61932277372466,132.92338600632934,161.79067856956175,188.16123386911883
00-0034365,TE,LV,9.755594921687749,9.755594921687749,9.755594921687749,25.916832667403508,43.996398730355295
00-0034383,TE,HOU,72.94948920989036,88.78048978275902,108.48895696047848,139.731086520287,167.15339363254583
00-0034386,WR,HOU,19.06058506686327,19.06058506686327,19.06058506686327,32.10754777986416,88.17649167801835
00-0034418,WR,DET,6.805925155765838,6.805925155765838,6.805925155765838,19.546024745987644,75.6191754636978
00-0034419,WR,NYG,7.427711336120527,7.427711336120527,7.427711336120527,19.800538480476867,76.24657186614004
00-0034487,WR,BUF,9.346829645368851,9.346829645368851,9.346829645368851,23.61286500775045,78.33200860314625
00-0034577,QB,BUF,5.655893086322039,5.655893086322039,5.931954513003813,39.260721187024075,87.36043993044503
00-0034613,TE,CIN,24.431979250689093,24.431979250689093,26.493611784199878,29.907482270525207,45.93389765508408
