player_id,display_name,team,position,week,opponent,is_home,is_bye,A_i_w,m_pass_conv,available_at,attempts,targets,carries,receiving_yards,rushing_yards,fantasy_points
00-0038933,Dalton Kincaid,BUF,TE,2,DET,1.0,0,0.97,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,3.0289217468800684,0.0,28.20677845126258,0.0,4.869680072484368
00-0037261,Khalil Shakir,BUF,WR,2,DET,1.0,0,0.9,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,3.4580816958974228,0.0,24.081608136446608,0.0,4.3035411992030195
00-0034827,DJ Moore,BUF,WR,2,DET,1.0,0,0.9,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,3.2150543434532826,0.0,23.897948891187315,0.0,4.016815827339449
00-0039875,Ray Davis,BUF,RB,2,DET,1.0,0,0.97,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,1.36656645088931,4.275838134812566,9.054239542098031,17.00263515093618,3.8202626087873197
00-0035537,Ty Johnson,BUF,RB,2,DET,1.0,0,0.9,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,1.5090179957438885,2.4657676129485524,8.656510677160773,12.991939540108838,3.33683064381886
00-0035689,Dawson Knox,BUF,TE,2,DET,1.0,0,0.9,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,1.7588888122056037,0.0,13.510497245944505,0.0,2.5715614258881097
00-0036988,Josh Palmer,BUF,WR,2,DET,1.0,0,0.97,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,1.6574898881507967,0.0,11.882752679571487,0.0,2.041710962854127
00-0038679,Tyrell Shavers,BUF,WR,2,DET,1.0,0,0.97,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,0.9043734758078862,0.0,11.705954133442466,0.0,1.7691430265225623
00-0040194,Jackson Hawes,BUF,TE,2,DET,1.0,0,0.97,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,0.7659405140145892,0.0,6.704827579532163,0.0,1.3551334202929834
00-0034577,Kyle Allen,BUF,QB,2,DET,1.0,0,0.9,0.9953726316400582,2026-08-30T00:00:00+00:00,2.088173550024223,0.0,0.34750446806892643,0.0,0.7533154104622842,0.7667596959127717
00-0041443,Skyler Bell,BUF,WR,2,DET,1.0,0,0.97,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,0.5653528893316885,0.0,4.322792720473029,0.0,0.7543254176396234
00-0036679,Shane Buechele,BUF,QB,2,DET,1.0,0,0.97,0.9953726316400582,2026-08-30T00:00:00+00:00,1.3163489971321782,0.0,0.245123725803973,0.0,0.8119066090537951,0.6862341833921465
00-0035140,Mecole Hardman,BUF,WR,2,DET,1.0,0,0.97,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,0.47742169546737173,0.0,3.3649830131934166,0.0,0.5620999318864024
00-0034487,Trent Sherfield,BUF,WR,2,DET,1.0,0,0.97,0.9953726316400582,2026-08-30T00:00:00+00:00,0.0,0.3074949539915988,0.0,3.160529034532777,0.0,0.5254650063768239
