player_id,position,attempts,carries,completions,interceptions,passing_tds,passing_yards,rushing_tds,rushing_yards,display_name,team,depth_rank,projected_games,fantasy_pts,fantasy_pts_season,rank
00-0039851,QB,27.369577073770362,5.01393504386697,18.56697343621214,0.5838876771090529,1.56344477700341,206.26289884753234,0.2165582433448286,28.92223032141193,Drake Maye,NE,1.0,17.0,17.528092199906993,297.9775673984189,1
00-0036355,QB,26.218660410667027,4.5597396963381165,17.742203561170346,0.4943342770786964,1.5731196246400216,186.87025447241038,0.2924659152792569,22.40624614495683,Justin Herbert,LAC,1.0,17.0,16.774040229470334,285.1586839009957,2
00-0034857,QB,18.877516526975327,6.089131560753759,11.370031374837586,0.39506683485769234,1.1326509916185197,144.92197648303957,0.5665595214949763,34.23574737486391,Josh Allen,BUF,1.0,17.0,16.360281222536525,278.1247807831209,3
00-0039732,QB,26.11208030970387,4.040699263198057,17.719335729828124,0.5342783122809145,1.5667248185822322,193.26338404598536,0.2037408006315235,18.54685639244647,Bo Nix,DEN,1.0,17.0,16.006008454640302,272.10214372888515,4
00-0036971,QB,24.381549163358695,3.871564184360902,16.324856096809114,0.4807212649043736,1.4628929498015217,178.2393034864175,0.2975997285789055,18.78970102917523,Trevor Lawrence,JAX,1.0,17.0,15.684269883244994,266.6325880151649,5
00-0033077,QB,26.695654113248008,2.8175673092169427,17.92726395568113,0.5231191499046134,1.6017392467948803,202.4669574271075,0.09245879429666,12.302359188588548,Dak Prescott,DAL,1.0,17.0,15.244385669093408,259.1545563745879,6
00-0039918,QB,24.533378093234557,3.93038776895004,15.782028701850162,0.4675973436193564,1.4720026855940733,175.91884308493658,0.1274095600400328,19.137837163647816,Caleb Williams,CHI,1.0,17.0,14.667810855140022,249.3527845373804,7
00-0026498,QB,26.72069987782679,2.0064633369997167,18.56174534212089,0.59622329680926,1.6032419926696073,197.67212194980064,0.0611169343628801,4.781168295094186,Matthew Stafford,LA,1.0,17.0,13.972224690738633,237.52781974255677,8
00-0034855,QB,24.422700703023747,2.719482870807961,15.03518051054918,0.514410343536501,1.3047880730165045,167.9661125846682,0.1838230590438108,13.528250858046151,Baker Mayfield,TB,1.0,17.0,13.364739548447222,227.20057232360278,9
00-0039163,QB,23.496988225633594,3.1030564389822497,14.540820198226307,0.5404129572028276,1.4098192935380156,165.76597199782583,0.1430186358383651,12.944681869748182,C.J. Stroud,HOU,1.0,17.0,13.34167014166445,226.80839240829565,10
00-0040691,QB,14.345912122899893,6.909550971029029,7.915099068009358,0.2901842375716546,0.8003968992242273,103.62534189700607,0.4656261314942325,37.52810019467572,Jaxson Dart,NYG,1.0,17.0,13.31279960606681,226.31759330313577,11
00-0036389,QB,17.473710673470322,4.309725888921528,10.801386432901694,0.37213097590229943,1.0484226404082193,126.98875091724335,0.3757540566584442,19.43939246099003,Jalen Hurts,PHI,1.0,17.0,12.72744223256768,216.36651795365057,12
00-0033119,QB,21.212303931131828,2.5788963219590406,14.168496258400696,0.4145427441439097,1.2727382358679096,163.30380820436477,0.076012194053566,12.282000858031786,Jacoby Brissett,ARI,1.0,17.0,12.478293033482982,212.1309815692107,13
00-0036264,QB,22.09776375324896,2.863657806451861,14.04840456104525,0.44138885814564316,1.3258658251949376,154.92671826859436,0.0894843336491625,12.357317223521717,Jordan Love,GB,1.0,17.0,12.390392039479385,210.63666467114956,14
00-0033873,QB,17.86395650646035,4.563030519281061,11.489733683967126,0.369921398949596,1.071837390387621,127.71345183627399,0.1903404248771213,25.55235837289885,Patrick Mahomes,KC,1.0,17.0,12.353323223654865,210.0064948021327,15
00-0039910,QB,17.738117331388697,6.440275807116136,10.580227878463903,0.3693604725735413,0.8649427744424528,116.28570905808267,0.2120926979534429,29.03972067565226,Jayden Daniels,WAS,1.0,17.0,11.54900677023192,196.33311509394264,16
00-0039150,QB,20.971867748523785,2.940110676138432,13.897532489825954,0.4509353184345088,1.0949261925089362,147.11389620981117,0.163936097362887,11.57778920239155,Bryce Young,CAR,1.0,17.0,11.503785485975651,195.56435326158606,17
00-0033106,QB,21.044487326158063,1.596428071496497,13.961306730710247,0.47576397227778844,1.2626692395694836,160.41045995680466,0.0615084739315944,4.072658945908659,Jared Goff,DET,1.0,17.0,11.291884150174976,191.9620305529746,18
00-0034869,QB,19.882692036805786,1.5092548181912688,12.723936127011903,0.33771670905568424,1.1929615222083472,165.7753843931792,0.042592907841618,2.5985494164344627,Sam Darnold,SEA,1.0,17.0,11.242840435142345,191.12828739741985,19
00-0034796,QB,15.727597062314073,4.422580581350364,9.198828307797974,0.34975317710307036,0.9436558237388444,116.68273529490627,0.1130676329087628,26.67435986443961,Lamar Jackson,BAL,1.0,17.0,11.088268136442027,188.50055831951445,20
00-0035710,QB,18.714034201679752,2.964057620985912,12.11085471798344,0.5392715607544599,1.1228420521007851,146.88656195493144,0.0869765000203466,12.328022503568851,Daniel Jones,IND,1.0,17.0,11.042948815570442,187.73012986469752,21
00-0037834,QB,18.742614787276377,3.011113008797006,13.17592747807285,0.5037124251863629,1.1245568872365825,142.2026178548577,0.1338385923446456,8.61548815488379,Brock Purdy,SF,1.0,17.0,10.843487782324166,184.33929229951082,22
