player_id,display_name,team,position,week,opponent,is_home,is_bye,A_i_w,attempts,targets,carries,receiving_yards,rushing_yards,fantasy_points
00-0034857,Josh Allen,BUF,QB,1,HOU,0.0,0,1.0,25.806226747558586,0.0,5.2419530785572475,0.0,27.57845075984656,15.805335931935815
00-0037248,James Cook,BUF,RB,1,HOU,0.0,0,1.0,0.0,2.8688607986766264,13.753701539530445,16.58458677772333,65.52603495788769,12.712646057023992
00-0039901,Keon Coleman,BUF,WR,1,HOU,0.0,0,1.0,0.0,4.179199313260152,0.0,29.325360473952934,0.0,5.3262959791915865
00-0038933,Dalton Kincaid,BUF,TE,1,HOU,0.0,0,1.0,0.0,3.0653789359007444,0.0,28.67899362590717,0.0,4.951204335521524
00-0037261,Khalil Shakir,BUF,WR,1,HOU,0.0,0,1.0,0.0,3.7719036397990364,0.0,26.389133488953874,0.0,4.7159111026768255
00-0034827,DJ Moore,BUF,WR,1,HOU,0.0,0,1.0,0.0,3.5068214827342405,0.0,26.187875819110264,0.0,4.401711400152548
00-0039875,Ray Davis,BUF,RB,1,HOU,0.0,0,1.0,0.0,1.3830149350605185,4.316629954674588,9.205818330651763,17.660424890701055,3.9199023951075422
00-0035537,Ty Johnson,BUF,RB,1,HOU,0.0,0,1.0,0.0,1.64596182832271,2.682902762405994,9.485986754448431,14.544142735257022,3.6853241680416144
00-0035689,Dawson Knox,BUF,TE,1,HOU,0.0,0,1.0,0.0,1.9185084958030196,0.0,14.80508748856261,0.0,2.81797118192038
00-0036988,Josh Palmer,BUF,WR,1,HOU,0.0,0,1.0,0.0,1.6774400312056368,0.0,12.081684157745709,0.0,2.0758916439469304
00-0038679,Tyrell Shavers,BUF,WR,1,HOU,0.0,0,1.0,0.0,0.9152588394812051,0.0,11.901925792703603,0.0,1.7987605946785323
00-0040194,Jackson Hawes,BUF,TE,1,HOU,0.0,0,1.0,0.0,0.7751596488855336,0.0,6.817074404595907,0.0,1.3778199729539358
00-0034577,Kyle Allen,BUF,QB,1,HOU,0.0,0,1.0,2.277675921657022,0.0,0.3781056626888224,0.0,0.8433172599524281,0.8438562357377858
00-0041443,Skyler Bell,BUF,WR,1,HOU,0.0,0,1.0,0.0,0.5721576795746128,0.0,4.395161435779445,0.0,0.7669537264500402
00-0036679,Shane Buechele,BUF,QB,1,HOU,0.0,0,1.0,1.332193046010317,0.0,0.24746222472550478,0.0,0.8433172599524281,0.7006060594518004
00-0035140,Mecole Hardman,BUF,WR,1,HOU,0.0,0,1.0,0.0,0.4831681143083847,0.0,3.4213168495440223,0.0,0.5715101563812728
00-0034487,Trent Sherfield,BUF,WR,1,HOU,0.0,0,1.0,0.0,0.31119607359699075,0.0,3.2134400669851346,0.0,0.5342619184447722
00-0040363,Keleki Latu,BUF,TE,1,HOU,0.0,0,1.0,0.0,0.2604524211645026,0.0,1.676033066530454,0.0,0.34890386271590584
00-0036534,Shane Zylstra,BUF,TE,1,HOU,0.0,0,1.0,0.0,0.29525870797511006,0.0,1.0923963595759167,0.0,0.2631662604735804
00-0041221,Jackson Acker,BUF,RB,1,HOU,0.0,0,1.0,0.0,0.0758514317873455,0.3042611752850529,0.412236047979946,1.3860883772546386,0.251714832107892
00-0041273,Desmond Reid,BUF,RB,1,HOU,0.0,0,1.0,0.0,0.0758514317873455,0.3042611752850529,0.412236047979946,1.3860883772546386,0.251714832107892
00-0041222,Gabriel Benyard,BUF,WR,1,HOU,0.0,0,1.0,0.0,0.11133965578568016,0.0,0.7568253618885344,0.0,0.13012268619480194
00-0041272,Ja'Mori Maclin,BUF,WR,1,HOU,0.0,0,1.0,0.0,0.11133965578568016,0.0,0.7568253618885344,0.0,0.13012268619480194
00-0034857,Josh Allen,BUF,QB,2,DET,1.0,0,1.0,27.402488195861178,0.0,5.566197598880376,0.0,29.284334312002024,16.782985577210198
00-0037248,James Cook,BUF,RB,2,DET,1.0,0,1.0,0.0,3.046316105811263,14.604445964656039,17.610437506242302,69.57919175940653,13.498995297664653
00-0039901,Keon Coleman,BUF,WR,2,DET,1.0,0,1.0,0.0,4.437706487276244,0.0,31.139300297084045,0.0,5.655757586151892
00-0038933,Dalton Kincaid,BUF,TE,2,DET,1.0,0,1.0,0.0,3.2549900041007906,0.0,30.45295199451999,0.0,5.257464397512546
00-0037261,Khalil Shakir,BUF,WR,2,DET,1.0,0,1.0,0.0,4.0052172670031005,0.0,28.021451024353084,0.0,5.0076169440795155
00-0034827,DJ Moore,BUF,WR,2,DET,1.0,0,1.0,0.0,3.723738275480688,0.0,27.807744426477914,0.0,4.673982208409407
00-0039875,Ray Davis,BUF,RB,2,DET,1.0,0,1.0,0.0,1.4685622506312723,4.583637993108068,9.775250392341563,18.752822306620715,4.162370584495639
00-0035537,Ty Johnson,BUF,RB,2,DET,1.0,0,1.0,0.0,1.747773900177723,2.848855510596055,10.072748821733903,15.443780430221377,3.913282364002952
00-0035689,Dawson Knox,BUF,TE,2,DET,1.0,0,1.0,0.0,2.0371791244093918,0.0,15.720866096102567,0.0,2.99227867770927
00-0036988,Josh Palmer,BUF,WR,2,DET,1.0,0,1.0,0.0,1.7811992083936143,0.0,12.829004827296991,0.0,2.204297312644679
00-0038679,Tyrell Shavers,BUF,WR,2,DET,1.0,0,1.0,0.0,0.971872788315094,0.0,12.638127388128568,0.0,1.9100241366174109
00-0040194,Jackson Hawes,BUF,TE,2,DET,1.0,0,1.0,0.0,0.8231076684042263,0.0,7.2387491100348305,0.0,1.4630459506624267
00-0034577,Kyle Allen,BUF,QB,2,DET,1.0,0,1.0,2.418563092068797,0.0,0.4014936418242135,0.0,0.8954812141762898,0.8960535286700201
00-0041443,Skyler Bell,BUF,WR,2,DET,1.0,0,1.0,0.0,0.6075488762493312,0.0,4.667027091600855,0.0,0.8143941631376717
00-0036679,Shane Buechele,BUF,QB,2,DET,1.0,0,1.0,1.4145967395779655,0.0,0.262769166461103,0.0,0.8954812141762898,0.7439425167374789
00-0035140,Mecole Hardman,BUF,WR,2,DET,1.0,0,1.0,0.0,0.5130548017913775,0.0,3.6329446959075704,0.0,0.6068613000749598
00-0034487,Trent Sherfield,BUF,WR,2,DET,1.0,0,1.0,0.0,0.330445315262784,0.0,3.412209555664628,0.0,0.5673090474207376
