position,stat,test_season,n_calibration,n_test,resid_low,resid_high,coverage,target_coverage,coverage_gap,calibration_seasons
QB,attempts,2024,74,74,-9.411519385570623,9.776821111878345,0.7972972972972973,0.8,-0.002702702702702786,2023
QB,attempts,2025,148,71,-10.763809974154931,8.74850243793855,0.8028169014084507,0.8,0.0028169014084507005,"2023,2024"
QB,carries,2024,74,74,-2.2807210699385654,1.2125322750353429,0.918918918918919,0.8,0.11891891891891893,2023
QB,carries,2025,148,71,-2.01400185423169,1.124804387632635,0.7605633802816901,0.8,-0.03943661971830992,"2023,2024"
QB,completions,2024,74,74,-5.701543735508183,6.672763904538025,0.7837837837837838,0.8,-0.016216216216216273,2023
QB,completions,2025,148,71,-7.375347932613891,6.3351745139876705,0.8591549295774648,0.8,0.05915492957746471,"2023,2024"
QB,interceptions,2024,74,74,-0.2015514174040715,0.33536506558562573,0.6891891891891891,0.8,-0.1108108108108109,2023
QB,interceptions,2025,148,71,-0.301663631654825,0.2941383027238218,0.8732394366197183,0.8,0.07323943661971821,"2023,2024"
QB,passing_tds,2024,74,74,-0.5239452196880275,0.582315267258107,0.7972972972972973,0.8,-0.002702702702702786,2023
QB,passing_tds,2025,148,71,-0.5444060905530826,0.568023526271055,0.8450704225352113,0.8,0.04507042253521121,"2023,2024"
QB,passing_yards,2024,74,74,-77.07369700410679,82.08993788237116,0.8108108108108109,0.8,0.010810810810810811,2023
QB,passing_yards,2025,148,71,-79.4099991488349,61.70930151809132,0.8309859154929577,0.8,0.030985915492957705,"2023,2024"
QB,rushing_tds,2024,74,74,-0.15601396549243648,0.12876572658534477,0.8648648648648649,0.8,0.06486486486486487,2023
QB,rushing_tds,2025,148,71,-0.14897628392927093,0.09196204390453605,0.9014084507042254,0.8,0.10140845070422533,"2023,2024"
QB,rushing_yards,2024,74,74,-13.519966469402027,5.757593464930469,0.8378378378378378,0.8,0.037837837837837784,2023
QB,rushing_yards,2025,148,71,-11.324193054547308,6.228823026492607,0.7746478873239436,0.8,-0.025352112676056415,"2023,2024"
RB,carries,2024,120,110,-5.616638523794289,3.5646194175160377,0.8,0.8,0.0,2023
RB,carries,2025,230,114,-4.491957678933881,4.67552499897722,0.8596491228070176,0.8,0.05964912280701751,"2023,2024"
RB,receiving_tds,2024,120,110,-0.0894453702543569,0.08258320524442186,0.8272727272727273,0.8,0.027272727272727226,2023
RB,receiving_tds,2025,230,114,-0.08469172129672597,0.07695940595464991,0.8421052631578947,0.8,0.042105263157894646,"2023,2024"
RB,receiving_yards,2024,120,110,-6.207442857951622,8.89356622875061,0.7909090909090909,0.8,-0.00909090909090915,2023
RB,receiving_yards,2025,230,114,-6.334694259565293,8.855688375435998,0.8859649122807017,0.8,0.08596491228070169,"2023,2024"
RB,receptions,2024,120,110,-0.7016063839630794,1.0833848029740136,0.7818181818181819,0.8,-0.018181818181818188,2023
RB,receptions,2025,230,114,-0.7903196060453319,1.0260121993293745,0.8508771929824561,0.8,0.050877192982456076,"2023,2024"
RB,rushing_tds,2024,120,110,-0.26332661131715906,0.11768263382517316,0.7727272727272727,0.8,-0.027272727272727337,2023
RB,rushing_tds,2025,230,114,-0.19207080673519705,0.22578060658197072,0.8596491228070176,0.8,0.05964912280701751,"2023,2024"
RB,rushing_yards,2024,120,110,-24.635469964796197,12.551303678934442,0.7636363636363637,0.8,-0.036363636363636376,2023
RB,rushing_yards,2025,230,114,-22.794077737622466,19.77695417487756,0.8596491228070176,0.8,0.05964912280701751,"2023,2024"
RB,targets,2024,120,110,-0.9631378114897896,1.1223829635788463,0.7363636363636363,0.8,-0.06363636363636371,2023
RB,targets,2025,230,114,-1.1218709051544216,1.123161543682242,0.8421052631578947,0.8,0.042105263157894646,"2023,2024"
TE,receiving_tds,2024,107,113,-0.12970737850910433,0.05715968091058306,0.7522123893805309,0.8,-0.04778761061946912,2023
TE,receiving_tds,2025,220,116,-0.1179240951246726,0.09183096131614188,0.7672413793103449,0.8,-0.03275862068965518,"2023,2024"
TE,receiving_yards,2024,107,113,-9.290069651043517,8.782893107381554,0.7433628318584071,0.8,-0.05663716814159292,2023
TE,receiving_yards,2025,220,116,-9.144557819938095,12.79018147296226,0.8103448275862069,0.8,0.010344827586206806,"2023,2024"
TE,receptions,2024,107,113,-1.0132964694150948,0.7203735350210793,0.7433628318584071,0.8,-0.05663716814159292,2023
TE,receptions,2025,220,116,-0.9952953910273772,1.024403486902566,0.8362068965517241,0.8,0.036206896551724044,"2023,2024"
TE,targets,2024,107,113,-1.428458118960263,1.298962941662832,0.7876106194690266,0.8,-0.012389380530973493,2023
TE,targets,2025,220,116,-1.391924492490939,1.4066323136280199,0.8017241379310345,0.8,0.0017241379310344307,"2023,2024"
WR,receiving_tds,2024,200,204,-0.1360649490603185,0.15663487914760868,0.7352941176470589,0.8,-0.06470588235294117,2023
WR,receiving_tds,2025,404,198,-0.1366255596687751,0.19773482823578875,0.8434343434343434,0.8,0.04343434343434338,"2023,2024"
