position,stat,n_test,n_crossfit_folds,first_test_season,last_test_season,resid_low,resid_high,resid_std,low_n_flag,calibration_basis
QB,attempts,219,3,2023,2025,-9.495682317596069,9.655555641914688,8.206865141984265,False,pooled strictly-forward rolling residuals
QB,carries,219,3,2023,2025,-1.7522010502454055,1.3675897924691323,1.3034310713524977,False,pooled strictly-forward rolling residuals
QB,completions,219,3,2023,2025,-5.764454762368311,6.332068089235132,5.207791542490663,False,pooled strictly-forward rolling residuals
QB,interceptions,219,3,2023,2025,-0.27299708569221115,0.2934214954966581,0.23830124421962517,False,pooled strictly-forward rolling residuals
QB,passing_tds,219,3,2023,2025,-0.4962823658507033,0.5818656971817824,0.4469921070067887,False,pooled strictly-forward rolling residuals
QB,passing_yards,219,3,2023,2025,-77.71154841204525,65.505774447607,59.7824936463446,False,pooled strictly-forward rolling residuals
QB,rushing_tds,219,3,2023,2025,-0.13365020344631912,0.07890350836339528,0.12686355942409508,False,pooled strictly-forward rolling residuals
QB,rushing_yards,219,3,2023,2025,-8.755892466417519,7.3486967402141845,7.555576402053688,False,pooled strictly-forward rolling residuals
RB,carries,344,3,2023,2025,-4.181775970167977,4.631095959286508,3.3535510441957372,False,pooled strictly-forward rolling residuals
RB,receiving_tds,344,3,2023,2025,-0.07605589131494367,0.08494970673803486,0.07010517612970203,False,pooled strictly-forward rolling residuals
RB,receiving_yards,344,3,2023,2025,-6.152108177679655,8.003688298841665,5.993353020075416,False,pooled strictly-forward rolling residuals
RB,receptions,344,3,2023,2025,-0.7830462361437144,0.9800969674785666,0.7350898736678221,False,pooled strictly-forward rolling residuals
RB,rushing_tds,344,3,2023,2025,-0.18789049751141135,0.19542350255667518,0.18460694510688958,False,pooled strictly-forward rolling residuals
RB,rushing_yards,344,3,2023,2025,-20.462508293177233,20.123578096140996,16.880432370547837,False,pooled strictly-forward rolling residuals
RB,targets,344,3,2023,2025,-1.0542445571390495,1.1131885545454956,0.9149453799375411,False,pooled strictly-forward rolling residuals
TE,receiving_tds,336,3,2023,2025,-0.10978967419627858,0.12269845899163004,0.10746033178436003,False,pooled strictly-forward rolling residuals
TE,receiving_yards,336,3,2023,2025,-8.957547101163962,12.892864687810794,9.240980962258925,False,pooled strictly-forward rolling residuals
TE,receptions,336,3,2023,2025,-0.954779540524439,1.0146723433094191,0.8796859786863337,False,pooled strictly-forward rolling residuals
TE,targets,336,3,2023,2025,-1.2877024188673665,1.4435037917262707,1.1616793750582626,False,pooled strictly-forward rolling residuals
WR,receiving_tds,602,3,2023,2025,-0.12688688060599368,0.19930033543102613,0.13236166413433928,False,pooled strictly-forward rolling residuals
WR,receiving_yards,602,3,2023,2025,-12.456495956794031,17.05573757800305,13.06542466971831,False,pooled strictly-forward rolling residuals
WR,receptions,602,3,2023,2025,-0.9689694243655181,1.3404182291211575,0.9873243751460298,False,pooled strictly-forward rolling residuals
WR,targets,602,3,2023,2025,-1.3652855678094586,1.846308109374443,1.3726510028762005,False,pooled strictly-forward rolling residuals
