position,stat,n_test,model_mae,naive_mae,model_wins,test_season,n_train_transitions,baseline_prior_year_mae,baseline_weighted_3y_mae,baseline_team_share_volume_mae,baseline_ridge_mae,baseline_elastic_net_mae,baseline_empirical_bayes_mae,model_mae_uncapped
QB,attempts,74,6.425549602835366,8.179249299102239,True,2023,1,8.179249299102239,7.872179306549643,8.179249299102239,7.450018428182745,7.340062641850436,11.076767874886329,
QB,completions,74,4.116055561407421,5.284235551147316,True,2023,1,5.284235551147316,5.098487694343601,5.284235551147316,4.835373232982502,4.759707566625531,7.26514242455435,
QB,passing_yards,74,48.49713312360095,59.86824409912645,True,2023,1,59.86824409912645,58.1920340808547,59.86824409912645,55.51883625872752,54.138197404969674,81.06721284414202,
QB,passing_tds,74,0.3315923206497294,0.372641458303223,True,2023,1,0.372641458303223,0.3745464925277925,0.372641458303223,0.37262321294478307,0.3750272135706191,0.5203154779291393,
QB,interceptions,74,0.1883413445016231,0.26415546672899615,True,2023,1,0.26415546672899615,0.22586781054361227,0.26415546672899615,0.2038818474014552,0.21111232761992674,0.26122434410348916,
QB,carries,74,1.0798982895232339,1.1712705186969892,True,2023,1,1.1712705186969892,0.9146597973757256,1.1712705186969892,1.039731254788967,1.0548915432280777,1.4372237374382475,
QB,rushing_yards,74,5.4113527861989015,5.97817027633204,True,2023,1,5.97817027633204,4.7349403862492885,5.97817027633204,5.307750253526694,5.48024567101262,7.330689364056325,
QB,rushing_tds,74,0.09696733065024614,0.07881434499081558,False,2023,1,0.07881434499081558,0.07584628435512578,0.07881434499081558,0.09135984316862346,0.09242745629177908,0.10134204975302893,
RB,carries,120,2.7447002223626273,2.888896548712725,True,2023,1,2.888896548712725,2.985583572496723,2.888896548712725,2.5295965454361693,2.5504375726283675,4.024532672585008,
RB,rushing_yards,120,12.99087779743951,13.773914865771482,True,2023,1,13.773914865771482,14.794070296988629,13.773914865771482,11.706516530660616,11.80022507582728,17.80975075266069,
RB,rushing_tds,120,0.13364506510158322,0.14307551993213757,True,2023,1,0.14307551993213757,0.1390367235806242,0.14307551993213757,0.10935158214588436,0.10939241522985575,0.1577502318082684,
RB,targets,120,0.6833202941306744,0.8840273098361333,True,2023,1,0.8840273098361333,0.8412205983929073,1.388933765716854,0.7238410960817265,0.7120898792705023,1.0108326683542233,
RB,receptions,120,0.5343284740430654,0.7022836837726543,True,2023,1,0.7022836837726543,0.6801246501817096,1.083370245631275,0.5831166627148633,0.5750605495641268,0.7967146154292275,
RB,receiving_yards,120,4.388492599122615,5.130645279284986,True,2023,1,5.130645279284986,7.721904657646432,7.753258319839203,4.791655050800198,4.8777431659600605,5.908031954486065,4.388492599122615
RB,receiving_tds,120,0.05106801676081319,0.050526264993176764,False,2023,1,0.050526264993176764,0.0513482203908663,0.050526264993176764,0.04695552361491459,0.04745586620599736,0.05511426601426919,
WR,targets,200,0.8844149849795163,1.1028106219760632,True,2023,1,1.1028106219760632,1.1822794604977496,2.6047142926517926,0.8974550976911828,0.8967333613961028,1.9808483589454042,
WR,receptions,200,0.643536285420707,0.7676179098679099,True,2023,1,0.7676179098679099,0.8253459250275594,1.6408149167009463,0.6225090557282731,0.621556289232291,1.2958941903075822,
WR,receiving_yards,200,9.003357522364631,9.555636928022956,True,2023,1,9.555636928022956,20.7390458947316,20.83336073852618,9.359299049057894,8.917379646712975,17.163286593236165,9.003357522364631
WR,receiving_tds,200,0.0806521171652382,0.09713036840610371,True,2023,1,0.09713036840610371,0.09275185738743424,0.09713036840610371,0.0862472148025758,0.07812156462484095,0.11632384573303298,
TE,targets,107,0.9425456242351469,0.8174326154878656,False,2023,1,0.8174326154878656,0.8710823158933639,1.8989755960550356,0.7878176901633209,0.7879640715036638,1.3140094954131325,
TE,receptions,107,0.6291580062057743,0.6001888298617271,False,2023,1,0.6001888298617271,0.6157921976755107,1.3421094870861225,0.6024328690144108,0.5928159415910033,0.9295345020064683,
TE,receiving_yards,107,6.992876037366337,6.654415325374643,False,2023,1,6.654415325374643,13.611093878387608,13.670281299239518,6.514970444669384,6.640059071455442,9.741781210211574,6.992876037366337
TE,receiving_tds,107,0.0758229512594932,0.07323160392841535,False,2023,1,0.07323160392841535,0.06817503157741404,0.07323160392841535,0.0639518873181868,0.06120103333902871,0.07992664104149488,
QB,attempts,74,6.225202672069899,7.236163782119664,True,2024,2,7.236163782119664,7.013475870037618,7.236163782119664,6.1320993253987215,6.188395620229912,10.053435635183012,
QB,completions,74,4.317615359921298,4.704280734060146,True,2024,2,4.704280734060146,4.609236939914198,4.704280734060146,4.090179799767728,4.11658798257343,6.658630020809668,
QB,passing_yards,74,43.17658825432885,49.381569639290234,True,2024,2,49.381569639290234,48.64647815719541,49.381569639290234,43.939006842435795,45.24229090534791,73.06551716399292,
QB,passing_tds,74,0.3444929020490379,0.3516993605228899,True,2024,2,0.3516993605228899,0.3321091076032117,0.3516993605228899,0.3509169808506327,0.35076368390859497,0.4733624248387441,
QB,interceptions,74,0.20511833947836566,0.25679451047098106,True,2024,2,0.25679451047098106,0.24846958159374927,0.25679451047098106,0.20118512231451247,0.20402842739502375,0.2668742896721071,
QB,carries,74,0.7992152254936857,0.9507627562774622,True,2024,2,0.9507627562774622,0.823832712607063,0.9507627562774622,0.9099198683801365,0.8667231838689323,1.3180254616923126,
QB,rushing_yards,74,4.148987287660416,4.868683908389791,True,2024,2,4.868683908389791,4.4125366419523235,4.868683908389791,4.600946986646543,4.624897947481716,6.850190455377726,
QB,rushing_tds,74,0.07553184913124077,0.068846343111049,False,2024,2,0.068846343111049,0.06270727751805186,0.068846343111049,0.06959964830687662,0.07268292084622487,0.08879852716241216,
RB,carries,110,2.5620925541340274,2.627105347118716,True,2024,2,2.627105347118716,2.8918114116526943,2.627105347118716,2.453838341754259,2.4833064054402096,4.1236494988233465,
RB,rushing_yards,110,12.62083569443226,13.401815991495138,True,2024,2,13.401815991495138,13.997525244404288,13.401815991495138,11.834302392866132,12.179931346611978,18.70702990576156,
RB,rushing_tds,110,0.12070208094204124,0.125536500783827,True,2024,2,0.125536500783827,0.13442066948843753,0.125536500783827,0.12654197191174144,0.12090947083355648,0.16926936733470985,
RB,targets,110,0.6618085689942711,0.7623067767051726,True,2024,2,0.7623067767051726,0.7803354050021212,1.490571703252185,0.6078692051896225,0.5986070796037445,0.9662145270697182,
RB,receptions,110,0.5162208298032841,0.6260291045852544,True,2024,2,0.6260291045852544,0.6081629393286062,1.1860848250086218,0.48864877501361376,0.4773497378386837,0.7928071020669545,
RB,receiving_yards,110,4.283021489644835,4.92969296523441,True,2024,2,4.92969296523441,8.885409896046946,8.92529813249733,4.2298394932568115,4.241752378796375,6.299097647257756,4.283021489644835
RB,receiving_tds,110,0.046975739168443456,0.049500533631549666,True,2024,2,0.049500533631549666,0.04893672254700152,0.049500533631549666,0.045200542235666594,0.045415513467579785,0.05161283841051314,
WR,targets,204,1.0697469213857937,1.2391802917862607,True,2024,2,1.2391802917862607,1.3249031322993838,2.7785912000661135,0.9998506577003393,1.0172721109682545,1.891923634802598,
WR,receptions,204,0.7151833909314171,0.8117670775975275,True,2024,2,0.8117670775975275,0.8770964268101968,1.7859870569645657,0.7042555454039151,0.704962955756782,1.2446528323088295,
WR,receiving_yards,204,9.4948153093704,10.9061419085208,True,2024,2,10.9061419085208,22.204534398906965,22.30003894966049,9.125603718141614,9.024307532609118,16.05261899889689,9.4948153093704
WR,receiving_tds,204,0.10275111192959525,0.10755562360233642,True,2024,2,0.10755562360233642,0.10865461712968975,0.10755562360233642,0.09443859695287786,0.09792113016548927,0.12912738575515553,
TE,targets,113,0.8211455906219924,0.8282185785179017,True,2024,2,0.8282185785179017,0.9103523796184039,1.8526818408325436,0.748236085035779,0.749365986437601,1.2536984448673683,
TE,receptions,113,0.6322668055308571,0.6273144982150709,False,2024,2,0.6273144982150709,0.6950725422127192,1.3394680699600012,0.5915991125474734,0.5786864689708885,0.9168577564538943,
TE,receiving_yards,113,6.711358839713573,6.877086139755323,True,2024,2,6.877086139755323,13.386339685747119,13.442720749520593,6.233415555322185,6.183888993908281,9.934617727448934,6.711358839713573
TE,receiving_tds,113,0.06800788011936769,0.06998827059342416,True,2024,2,0.06998827059342416,0.07731750736218718,0.06998827059342416,0.07413742138500809,0.07401339163966567,0.08114185352253381,
QB,attempts,71,5.436986122818743,6.286843770470531,True,2025,3,6.286843770470531,6.140244260561789,6.286843770470531,6.509015955451621,6.541638971046538,10.639666495533875,
QB,completions,71,3.2347339251579053,3.940403923150402,True,2025,3,3.940403923150402,3.963323446453099,3.940403923150402,3.9253242142873552,3.955673235627315,6.528688685718996,
QB,passing_yards,71,38.949157037914944,45.6949242463327,True,2025,3,45.6949242463327,45.751302349014445,45.6949242463327,45.888536708891166,46.52031866451042,74.04842456870367,
QB,passing_tds,71,0.2867422938273152,0.33244830516992896,True,2025,3,0.33244830516992896,0.3017332687776691,0.33244830516992896,0.3252416161893068,0.33662496906944717,0.5154265243260614,
QB,interceptions,71,0.13847410332214036,0.18413417683301692,True,2025,3,0.18413417683301692,0.17333654222709738,0.18413417683301692,0.1714782740224255,0.17553031050354304,0.22048939366265585,
QB,carries,71,0.7802567803976134,0.9243436773573476,True,2025,3,0.9243436773573476,0.9131493116114258,0.9243436773573476,0.7470971218818924,0.7649009934960819,1.2243080733925777,
QB,rushing_yards,71,4.427799836114709,4.813814089114421,True,2025,3,4.813814089114421,4.898589849079691,4.813814089114421,4.178663905883982,4.228018956353156,6.460372369794369,
QB,rushing_tds,71,0.06675340320266522,0.06780147956618543,True,2025,3,0.06780147956618543,0.07121842155348873,0.06780147956618543,0.0745258075465265,0.0741884413961875,0.08426895928263563,
RB,carries,114,2.0453584448518876,2.1541144413435434,True,2025,3,2.1541144413435434,2.309137644658608,2.1541144413435434,1.961677152549184,1.9628333070662016,3.8111017448727043,
RB,rushing_yards,114,10.412107229105075,10.509414267792751,True,2025,3,10.509414267792751,10.936246448241725,10.509414267792751,9.820781231761542,9.867872384974328,17.410489410730875,
RB,rushing_tds,114,0.10328452292101213,0.11387862868126025,True,2025,3,0.11387862868126025,0.1082015909259893,0.11387862868126025,0.10184730137064682,0.10440642448847393,0.1538616233998468,
