position,stat,n_test,model_mae,naive_mae,model_wins,test_season,n_train_transitions,model_mae_uncapped
QB,attempts,74,6.425549602835366,8.179249299102239,True,2023,1,
QB,completions,74,4.116055561407421,5.284235551147316,True,2023,1,
QB,passing_yards,74,48.49713312360095,59.86824409912645,True,2023,1,
QB,passing_tds,74,0.3315923206497294,0.372641458303223,True,2023,1,
QB,interceptions,74,0.1883413445016231,0.26415546672899615,True,2023,1,
QB,carries,74,1.0798982895232339,1.1712705186969892,True,2023,1,
QB,rushing_yards,74,5.4113527861989015,5.97817027633204,True,2023,1,
QB,rushing_tds,74,0.09696733065024614,0.07881434499081558,False,2023,1,
RB,carries,120,2.7447002223626273,2.888896548712725,True,2023,1,
RB,rushing_yards,120,12.99087779743951,13.773914865771482,True,2023,1,
RB,rushing_tds,120,0.13364506510158322,0.14307551993213757,True,2023,1,
RB,targets,120,0.6833202941306744,0.8840273098361333,True,2023,1,
RB,receptions,120,0.5343284740430654,0.7022836837726543,True,2023,1,
RB,receiving_yards,120,4.388492599122615,5.130645279284986,True,2023,1,4.388492599122615
RB,receiving_tds,120,0.05106801676081319,0.050526264993176764,False,2023,1,
WR,targets,200,0.8844149849795163,1.1028106219760632,True,2023,1,
WR,receptions,200,0.643536285420707,0.7676179098679099,True,2023,1,
WR,receiving_yards,200,9.003357522364631,9.555636928022956,True,2023,1,9.003357522364631
WR,receiving_tds,200,0.0806521171652382,0.09713036840610371,True,2023,1,
TE,targets,107,0.9425456242351469,0.8174326154878656,False,2023,1,
TE,receptions,107,0.6291580062057743,0.6001888298617271,False,2023,1,
TE,receiving_yards,107,6.992876037366337,6.654415325374643,False,2023,1,6.992876037366337
TE,receiving_tds,107,0.0758229512594932,0.07323160392841535,False,2023,1,
TEAM,passing_yards,32,20.477027425162753,24.181985294117645,True,2023,1,
TEAM,pass_attempts,32,2.28467537279849,2.9099264705882355,True,2023,1,
QB,attempts,74,6.225202672069899,7.236163782119664,True,2024,2,
QB,completions,74,4.317615359921298,4.704280734060146,True,2024,2,
QB,passing_yards,74,43.17658825432885,49.381569639290234,True,2024,2,
QB,passing_tds,74,0.3444929020490379,0.3516993605228899,True,2024,2,
QB,interceptions,74,0.20511833947836566,0.25679451047098106,True,2024,2,
QB,carries,74,0.7992152254936857,0.9507627562774622,True,2024,2,
QB,rushing_yards,74,4.148987287660416,4.868683908389791,True,2024,2,
QB,rushing_tds,74,0.07553184913124077,0.068846343111049,False,2024,2,
RB,carries,110,2.5620925541340274,2.627105347118716,True,2024,2,
RB,rushing_yards,110,12.62083569443226,13.401815991495138,True,2024,2,
RB,rushing_tds,110,0.12070208094204124,0.125536500783827,True,2024,2,
RB,targets,110,0.6618085689942711,0.7623067767051726,True,2024,2,
RB,receptions,110,0.5162208298032841,0.6260291045852544,True,2024,2,
RB,receiving_yards,110,4.283021489644835,4.92969296523441,True,2024,2,4.283021489644835
RB,receiving_tds,110,0.046975739168443456,0.049500533631549666,True,2024,2,
WR,targets,204,1.0697469213857937,1.2391802917862607,True,2024,2,
WR,receptions,204,0.7151833909314171,0.8117670775975275,True,2024,2,
WR,receiving_yards,204,9.4948153093704,10.9061419085208,True,2024,2,9.4948153093704
WR,receiving_tds,204,0.10275111192959525,0.10755562360233642,True,2024,2,
TE,targets,113,0.8211455906219924,0.8282185785179017,True,2024,2,
TE,receptions,113,0.6322668055308571,0.6273144982150709,False,2024,2,
TE,receiving_yards,113,6.711358839713573,6.877086139755323,True,2024,2,6.711358839713573
TE,receiving_tds,113,0.06800788011936769,0.06998827059342416,True,2024,2,
TEAM,passing_yards,32,14.9297879443503,20.443014705882355,True,2024,2,
TEAM,pass_attempts,32,2.305747113156656,2.814338235294118,True,2024,2,
QB,attempts,71,5.436986122818743,6.286843770470531,True,2025,3,
QB,completions,71,3.2347339251579053,3.940403923150402,True,2025,3,
QB,passing_yards,71,38.949157037914944,45.6949242463327,True,2025,3,
QB,passing_tds,71,0.2867422938273152,0.33244830516992896,True,2025,3,
QB,interceptions,71,0.13847410332214036,0.18413417683301692,True,2025,3,
QB,carries,71,0.7802567803976134,0.9243436773573476,True,2025,3,
QB,rushing_yards,71,4.427799836114709,4.813814089114421,True,2025,3,
QB,rushing_tds,71,0.06675340320266522,0.06780147956618543,True,2025,3,
RB,carries,114,2.0453584448518876,2.1541144413435434,True,2025,3,
RB,rushing_yards,114,10.412107229105075,10.509414267792751,True,2025,3,
RB,rushing_tds,114,0.10328452292101213,0.11387862868126025,True,2025,3,
RB,targets,114,0.6591075650460891,0.665145058043665,True,2025,3,
RB,receptions,114,0.5229469682082848,0.5338592708174752,True,2025,3,
RB,receiving_yards,114,4.425705947198729,4.521898558527815,True,2025,3,4.425705947198729
RB,receiving_tds,114,0.044542997587994,0.04331388425815671,False,2025,3,
WR,targets,198,1.0366927272715478,1.0742599889547304,True,2025,3,
WR,receptions,198,0.7324489493939925,0.7516532664371345,True,2025,3,
WR,receiving_yards,198,9.077602851159106,9.79689108219634,True,2025,3,9.077602851159106
WR,receiving_tds,198,0.08171425581017379,0.10920364089927372,True,2025,3,
TE,targets,116,0.6873901830783093,0.7704164377148657,True,2025,3,
TE,receptions,116,0.5517257409510232,0.6100110497739809,True,2025,3,
TE,receiving_yards,116,5.971326991066521,6.501519638379426,True,2025,3,5.971326991066521
TE,receiving_tds,116,0.08018254922097404,0.08764344175094682,True,2025,3,
TEAM,passing_yards,32,22.845032412647853,26.21507352941176,True,2025,3,
TEAM,pass_attempts,32,2.734146016813921,3.1580882352941178,True,2025,3,
