test_season,n_train_seasons,position,stat,n_test,model_mae,model_bias
2022,6,QB,attempts,15,2.4654721200518557,-1.8219797542563443
2022,6,QB,completions,15,1.5181623020003019,-1.1761204445425137
2022,6,QB,passing_yards,15,16.130012490340963,-11.67225345555741
2022,6,QB,passing_tds,15,0.09684635751720339,-0.0403770552040115
2022,6,QB,interceptions,15,0.08281864448830639,-0.036901696447369396
2022,6,QB,carries,15,0.3362412897511208,-0.19615463595135024
2022,6,QB,rushing_yards,15,0.9209988272458286,0.0030448184367486714
2022,6,QB,rushing_tds,15,0.020189924185378866,-0.004874039804190153
2022,6,RB,carries,43,2.419671643305477,-1.0805086618640205
2022,6,RB,rushing_yards,43,11.34877072009483,-4.952980969594518
2022,6,RB,rushing_tds,43,0.06606524031768564,-0.014525625626726624
2022,6,RB,targets,43,0.5262670716510809,-0.11378865298828082
2022,6,RB,receptions,43,0.40203805225308237,-0.09503220311354865
2022,6,RB,receiving_yards,43,3.290763259754027,-0.6668060943822555
2022,6,RB,receiving_tds,43,0.021931920591109502,-0.0035043285689912757
2022,6,WR,targets,69,0.5956485751624963,0.11827749344340634
2022,6,WR,receptions,69,0.36432700808325236,0.10034831688593984
2022,6,WR,receiving_yards,69,4.976853946747576,1.2150926403508238
2022,6,WR,receiving_tds,69,0.038562183802229436,0.009468295944381575
2022,6,TE,targets,41,0.5098352551865971,-0.2803084231928895
2022,6,TE,receptions,41,0.36545427566899397,-0.1901826242631408
2022,6,TE,receiving_yards,41,3.8411620024295297,-2.2079666140866747
2022,6,TE,receiving_tds,41,0.03487258559684569,-0.0076951365836359685
2023,7,QB,attempts,20,4.868476023894755,-2.071353677564194
2023,7,QB,completions,20,3.0012143454712503,-1.2803628281935262
2023,7,QB,passing_yards,20,34.41600146896566,-13.046633028489842
2023,7,QB,passing_tds,20,0.20039049229648684,-0.053192042063658664
2023,7,QB,interceptions,20,0.11278334328024806,-0.0027337610878997052
2023,7,QB,carries,20,0.5921518049823281,-0.3377109216046629
2023,7,QB,rushing_yards,20,2.563088852651647,-1.4963514192106444
2023,7,QB,rushing_tds,20,0.0670136637932284,-0.04185251878552141
2023,7,RB,carries,39,1.457301763982107,0.16104190170526356
2023,7,RB,rushing_yards,39,8.106874957890476,-0.63381093830457
2023,7,RB,rushing_tds,39,0.059727485252792235,0.0016035275959019723
2023,7,RB,targets,39,0.6005154423993719,-0.224990383505069
2023,7,RB,receptions,39,0.465542485183846,-0.17947865106443509
2023,7,RB,receiving_yards,39,3.3212047628434425,-0.9706667330843339
2023,7,RB,receiving_tds,39,0.024885276728344133,-0.004067894293342462
2023,7,WR,targets,72,0.8757621136907748,-0.503024999508435
2023,7,WR,receptions,72,0.5759355580714461,-0.35922837793022816
2023,7,WR,receiving_yards,72,6.7226196805206415,-3.922734427441872
2023,7,WR,receiving_tds,72,0.06181589539652695,-0.02862707312479757
2023,7,TE,targets,30,0.5912872872787521,-0.13547210837198884
2023,7,TE,receptions,30,0.46820871315996904,-0.16100039864492333
2023,7,TE,receiving_yards,30,4.568503847025173,-0.9529978957931157
2023,7,TE,receiving_tds,30,0.0338008146311549,-0.0028350373478080925
2024,8,QB,attempts,18,3.2705045896901033,-0.4112333163933012
2024,8,QB,completions,18,2.1325621587392223,-0.5326215517465239
2024,8,QB,passing_yards,18,21.130434186951895,-3.3183876819977076
2024,8,QB,passing_tds,18,0.15839696536917217,-0.07486595224435857
2024,8,QB,interceptions,18,0.09343843044974975,0.03214282639780104
2024,8,QB,carries,18,0.8805711088048278,-0.4402294006776152
2024,8,QB,rushing_yards,18,5.7986192282101054,-3.609981851738407
2024,8,QB,rushing_tds,18,0.03589429770966812,-0.005164086938957171
2024,8,RB,carries,42,1.770504203661967,0.10561719849164973
2024,8,RB,rushing_yards,42,8.118959902179947,0.8527676489478428
2024,8,RB,rushing_tds,42,0.05950431968153234,0.013842990034109723
2024,8,RB,targets,42,0.45884747528945413,0.13133967058628093
2024,8,RB,receptions,42,0.3681922522524125,0.08887529232442334
2024,8,RB,receiving_yards,42,2.9403480348024904,0.5451095999717799
2024,8,RB,receiving_tds,42,0.01735359327164741,0.0034525619696573816
2024,8,WR,targets,66,0.8546879022085008,-0.08936051222435287
2024,8,WR,receptions,66,0.5830571443984781,-0.045862278189824864
2024,8,WR,receiving_yards,66,7.186479174606696,-0.2352484953209551
2024,8,WR,receiving_tds,66,0.05122299158866605,-0.010067347958216564
2024,8,TE,targets,30,0.6906327013584281,-0.2717095078070695
2024,8,TE,receptions,30,0.5228358125844338,-0.24913119676985787
2024,8,TE,receiving_yards,30,5.1965072814018916,-2.066447544404911
2024,8,TE,receiving_tds,30,0.032755642841318745,0.003364722031852128
2025,9,QB,attempts,19,4.8761706325247305,-3.0435155782414407
2025,9,QB,completions,19,2.5960109326875553,-1.4922436361038596
2025,9,QB,passing_yards,19,25.305851384750657,-13.271577293264677
2025,9,QB,passing_tds,19,0.12397316845327082,-0.05962674442298506
2025,9,QB,interceptions,19,0.11328605936680838,-0.04774983532207068
2025,9,QB,carries,19,0.5016131105239326,-0.17037848928254085
2025,9,QB,rushing_yards,19,2.4889388873700016,-0.9469699424697495
2025,9,QB,rushing_tds,19,0.049803773235707526,-0.02673736609899607
2025,9,RB,carries,41,2.2735238286144233,-1.0531290448274997
2025,9,RB,rushing_yards,41,9.586529905704017,-2.841111192834165
2025,9,RB,rushing_tds,41,0.11655105775741155,-0.05844077876145701
2025,9,RB,targets,41,0.6037629433731254,-0.208675780502578
2025,9,RB,receptions,41,0.49140139940690364,-0.17859912612951057
2025,9,RB,receiving_yards,41,3.7178308228840304,-0.8637440879486891
2025,9,RB,receiving_tds,41,0.035283106695653606,-0.018772603210180663
2025,9,WR,targets,80,0.5809109110997971,-0.03160876892364237
2025,9,WR,receptions,80,0.33012029713317304,0.002548013133356025
2025,9,WR,receiving_yards,80,4.485492660177874,0.15144503562577105
2025,9,WR,receiving_tds,80,0.049895574848313154,-0.006940310660378084
2025,9,TE,targets,35,0.6557655454719538,-0.38066393579445496
2025,9,TE,receptions,35,0.4893978908334461,-0.26765761638533214
2025,9,TE,receiving_yards,35,4.717418064461813,-2.872169115324253
2025,9,TE,receiving_tds,35,0.04118256432069831,-0.01691066851946201
