player_id,display_name,team,position,stat,pred_pg,pred_pg_low,pred_pg_high,pred_season,pred_season_low,pred_season_high,source,low_confidence,rookie_tier,interval_low_n_flag,season,team_changed,roster_status,depth_rank,role,formation_role,depth_chart_status,role_discount_applied,nfl_depth_rank,role_discount_factor,athletic_tier,team_pass_catch_ratio_pre_normalization,team_pass_catch_pre_normalization_flag,team_pass_catch_ratio,team_pass_catch_coherence_flag,receiving_share_capped,receiving_share_normalized,elite_correction_pg,projected_games,projected_games_raw,projected_volume_games,team_qb_raw_appearance_games,team_qb_volume_allocation_direction,team_qb_roster_resolved,qb_volume_games_scale,qb_volume_allocation_adjusted,team_pass_attempts_pg_pred,team_passing_yards_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,wr_target_share,te_target_share,rb_target_share,mix_source,hierarchical_pass_scale,within_group_target_share,rb_carry_share,qb_carry_share,other_carry_share,rush_mix_source,hierarchical_rush_scale,within_group_carry_share,team_passing_volume_scale,team_qb_attempt_anchor_fully_allocated,team_rushing_volume_scale,team_pass_receive_count_scale,usage_share_blend_factor,team_unmodeled_qb_volume_games,team_unmodeled_qb_attempts_season,team_unmodeled_qb_completions_season,team_unmodeled_qb_passing_yards_season,team_unmodeled_qb_passing_tds_season,team_unmodeled_receiving_yards_season,team_unmodeled_receptions_season,team_unmodeled_receiving_tds_season,team_unmodeled_carries_season,team_unmodeled_rushing_yards_season,coherence_receiver_exposure_basis,target_depth_rank,rookie_depth_band,rookie_availability_cell_n,rookie_availability_fallback_used,rookie_vacancy_scale,rookie_id_unresolved,stat_constraint_applied
00-0033119,Jacoby Brissett,ARI,QB,attempts,36.213963863137224,23.685112516269644,42.0,499.0183629958985,326.3742715354506,578.7483337929214,veteran_model,False,,False,2026,False,ACT,1.0,starter,,curated,False,1.0,1.0,,1.1669047287718985,False,1.0000000000000002,False,,,,13.779722233164795,13.779722233164795,13.779722233164795,21.943209545664182,downward,True,1.0,False,36.213963863137224,240.76907152016224,24.989656676740175,107.79270996792926,2025.0,ARI,canonical_source_team_frame,0.5729244072287639,0.3131304826585446,0.1139451101126915,scheme_model,,,0.8229646881151862,0.15068016524892605,0.02635514663588774,scheme_model,,,1.0695467484838106,True,,,,0.0,0.0,0.0,0.0,0.0,9.32771584447255,4.576524776078145,0.12452601647468953,11.196303123631708,47.72512713287165,projected_games,,,,,,,False
00-0033119,Jacoby Brissett,ARI,QB,carries,4.018888247762068,1.1914337260846215,6.989676290480027,55.37916374029168,16.417625804670635,96.31579778255247,veteran_model,False,,False,2026,False,ACT,1.0,starter,,curated,False,1.0,1.0,,1.1669047287718985,False,1.0000000000000002,False,,,,13.779722233164795,13.779722233164795,13.779722233164795,21.943209545664182,downward,True,1.0,False,36.213963863137224,240.76907152016224,24.989656676740175,107.79270996792926,2025.0,ARI,canonical_source_team_frame,0.5729244072287639,0.3131304826585446,0.1139451101126915,scheme_model,,,0.8229646881151862,0.15068016524892605,0.02635514663588774,scheme_model,1.5583752683431444,0.865129446879395,,True,1.0,,,0.0,0.0,0.0,0.0,0.0,9.32771584447255,4.576524776078145,0.12452601647468953,11.196303123631708,47.72512713287165,projected_games,,,,,,,False
00-0033119,Jacoby Brissett,ARI,QB,completions,24.188669611869944,15.490976981330629,32.94075135424433,333.31314844136193,213.46135992308575,453.9144038132339,veteran_model,False,,False,2026,False,ACT,1.0,starter,,curated,False,1.0,1.0,,1.1669047287718985,False,1.0000000000000002,False,,,,13.779722233164795,13.779722233164795,13.779722233164795,21.943209545664182,downward,True,1.0,False,36.213963863137224,240.76907152016224,24.989656676740175,107.79270996792926,2025.0,ARI,canonical_source_team_frame,0.5729244072287639,0.3131304826585446,0.1139451101126915,scheme_model,,,0.8229646881151862,0.15068016524892605,0.02635514663588774,scheme_model,,,1.0695467484838106,True,,,,0.0,0.0,0.0,0.0,0.0,9.32771584447255,4.576524776078145,0.12452601647468953,11.196303123631708,47.72512713287165,projected_games,,,,,,,False
00-0033119,Jacoby Brissett,ARI,QB,interceptions,0.7077135989043071,0.15428993836053312,1.1750827051583856,9.752096813534752,2.126072493980264,16.192313278078437,veteran_model,False,,False,2026,False,ACT,1.0,starter,,curated,False,1.0,1.0,,1.1669047287718985,False,1.0000000000000002,False,,,,13.779722233164795,13.779722233164795,13.779722233164795,21.943209545664182,downward,True,1.0,False,36.213963863137224,240.76907152016224,24.989656676740175,107.79270996792926,2025.0,ARI,canonical_source_team_frame,0.5729244072287639,0.3131304826585446,0.1139451101126915,scheme_model,,,0.8229646881151862,0.15068016524892605,0.02635514663588774,scheme_model,,,1.0695467484838106,True,,,,0.0,0.0,0.0,0.0,0.0,9.32771584447255,4.576524776078145,0.12452601647468953,11.196303123631708,47.72512713287165,projected_games,,,,,,,False
00-0033119,Jacoby Brissett,ARI,QB,passing_tds,1.8156280852595257,1.1427377263341627,2.5903091948067583,25.018850693609114,15.746608454243049,35.693741202449885,veteran_model,False,,False,2026,False,ACT,1.0,starter,,curated,False,1.0,1.0,,1.1669047287718985,False,1.0000000000000002,False,,,,13.779722233164795,13.779722233164795,13.779722233164795,21.943209545664182,downward,True,1.0,False,36.213963863137224,240.76907152016224,24.989656676740175,107.79270996792926,2025.0,ARI,canonical_source_team_frame,0.5729244072287639,0.3131304826585446,0.1139451101126915,scheme_model,,,0.8229646881151862,0.15068016524892605,0.02635514663588774,scheme_model,,,1.0695467484838106,True,,,,0.0,0.0,0.0,0.0,0.0,9.32771584447255,4.576524776078145,0.12452601647468953,11.196303123631708,47.72512713287165,projected_games,,,,,,,False
00-0033119,Jacoby Brissett,ARI,QB,passing_yards,285.12903928510315,191.6569343244353,388.99809373213407,3928.998961957854,2640.979319050626,5360.285680859411,veteran_model,False,,False,2026,False,ACT,1.0,starter,,curated,False,1.0,1.0,,1.1669047287718985,False,1.0000000000000002,False,,,,13.779722233164795,13.779722233164795,13.779722233164795,21.943209545664182,downward,True,1.0,False,36.213963863137224,240.76907152016224,24.989656676740175,107.79270996792926,2025.0,ARI,canonical_source_team_frame,0.5729244072287639,0.3131304826585446,0.1139451101126915,scheme_model,,,0.8229646881151862,0.15068016524892605,0.02635514663588774,scheme_model,,,1.1196343410032916,True,,,,0.0,0.0,0.0,0.0,0.0,9.32771584447255,4.576524776078145,0.12452601647468953,11.196303123631708,47.72512713287165,projected_games,,,,,,,False
00-0033119,Jacoby Brissett,ARI,QB,rushing_tds,0.11845552330557722,0.0,0.46463893317331156,1.632284208135033,0.0,6.402595437842253,veteran_model,False,,False,2026,False,ACT,1.0,starter,,curated,False,1.0,1.0,,1.1669047287718985,False,1.0000000000000002,False,,,,13.779722233164795,13.779722233164795,13.779722233164795,21.943209545664182,downward,True,1.0,False,36.213963863137224,240.76907152016224,24.989656676740175,107.79270996792926,2025.0,ARI,canonical_source_team_frame,0.5729244072287639,0.3131304826585446,0.1139451101126915,scheme_model,,,0.8229646881151862,0.15068016524892605,0.02635514663588774,scheme_model,1.5583752683431444,0.865129446879395,,True,1.0,,,0.0,0.0,0.0,0.0,0.0,9.32771584447255,4.576524776078145,0.12452601647468953,11.196303123631708,47.72512713287165,projected_games,,,,,,,False
00-0033119,Jacoby Brissett,ARI,QB,rushing_yards,19.139966382926016,2.705365022453037,36.6738677092863,263.7434203088324,37.279178548722484,505.35571024979686,veteran_model,False,,False,2026,False,ACT,1.0,starter,,curated,False,1.0,1.0,,1.1669047287718985,False,1.0000000000000002,False,,,,13.779722233164795,13.779722233164795,13.779722233164795,21.943209545664182,downward,True,1.0,False,36.213963863137224,240.76907152016224,24.989656676740175,107.79270996792926,2025.0,ARI,canonical_source_team_frame,0.5729244072287639,0.3131304826585446,0.1139451101126915,scheme_model,,,0.8229646881151862,0.15068016524892605,0.02635514663588774,scheme_model,1.5583752683431444,0.865129446879395,,True,1.0,,,0.0,0.0,0.0,0.0,0.0,9.32771584447255,4.576524776078145,0.12452601647468953,11.196303123631708,47.72512713287165,projected_games,,,,,,,False
00-0035289,Gardner Minshew,ARI,QB,attempts,36.213963863137224,0.0,42.0,74.85117309159561,0.0,86.810416051889,veteran_model,True,,False,2026,True,ACT,2.0,backup,,curated,True,2.0,0.77,,1.1669047287718985,False,1.0000000000000002,False,,,,3.0833462009484633,3.0833462009484633,2.066914667902119,21.943209545664182,downward,True,0.6703479055534921,True,36.213963863137224,240.76907152016224,24.989656676740175,107.79270996792926,2025.0,ARI,canonical_source_team_frame,0.5729244072287639,0.3131304826585446,0.1139451101126915,scheme_model,,,0.8229646881151862,0.15068016524892605,0.02635514663588774,scheme_model,,,6.089164958082556,True,,,,0.0,0.0,0.0,0.0,0.0,9.32771584447255,4.576524776078145,0.12452601647468953,11.196303123631708,47.72512713287165,projected_games,,,,,,,False
00-0035289,Gardner Minshew,ARI,QB,carries,2.1718337877472758,0.0,5.142621830465234,4.488995112140262,0.0,10.629360492862236,veteran_model,True,,False,2026,True,ACT,2.0,backup,,curated,True,2.0,0.77,,1.1669047287718985,False,1.0000000000000002,False,,,,3.0833462009484633,3.0833462009484633,2.066914667902119,21.943209545664182,downward,True,0.6703479055534921,True,36.213963863137224,240.76907152016224,24.989656676740175,107.79270996792926,2025.0,ARI,canonical_source_team_frame,0.5729244072287639,0.3131304826585446,0.1139451101126915,scheme_model,,,0.8229646881151862,0.15068016524892605,0.02635514663588774,scheme_model,1.5583752683431444,0.07012676963889737,,True,1.0,,,0.0,0.0,0.0,0.0,0.0,9.32771584447255,4.576524776078145,0.12452601647468953,11.196303123631708,47.72512713287165,projected_games,,,,,,,False
