player_id,team,position,team_changed,roster_status,projected_games,projected_games_raw,nfl_depth_rank,status_override_applied,stat,source,low_confidence,pred_pg,pred_pg_low,pred_pg_high,interval_low_n_flag,team_passing_yards_pg_pred,team_pass_attempts_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,depth_rank,role,formation_role,depth_chart_status,role_discount_factor,role_discount_applied,season,receiving_share_capped,receiving_share_normalized,elite_correction_pg,rookie_tier,athletic_tier,target_depth_rank,rookie_depth_band,rookie_vacancy_scale,rookie_availability_cell_n,rookie_availability_fallback_used,rookie_id_unresolved,replacement_cell_thin,projected_volume_games,pred_season,pred_season_low,pred_season_high,display_name
00-0033119,ARI,QB,False,ACT,13.779722233164795,13.779722233164795,1.0,False,attempts,veteran_model,False,33.85916876889593,22.14499978598005,47.89164671333013,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,1.0,starter,,curated,1.0,False,2026,,,,,,,,,,,,,13.779722233164795,435.28637103058657,284.6914718759262,615.6849638811777,Jacoby Brissett
00-0033119,ARI,QB,False,ACT,13.779722233164795,13.779722233164795,1.0,False,carries,veteran_model,False,2.5788963219590406,0.7645358279789354,4.485233070922263,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,1.0,starter,,curated,1.0,False,2026,,,,,,,,,,,,,13.779722233164795,35.536474984725906,10.535091346852392,61.80526586831352,Jacoby Brissett
00-0033119,ARI,QB,False,ACT,13.779722233164795,13.779722233164795,1.0,False,completions,veteran_model,False,22.615813330422256,14.483683862618102,30.798795284957045,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,1.0,starter,,curated,1.0,False,2026,,,,,,,,,,,,,13.779722233164795,293.3623551499071,187.87595860940098,399.5083877182921,Jacoby Brissett
00-0033119,ARI,QB,False,ACT,13.779722233164795,13.779722233164795,1.0,False,interceptions,veteran_model,False,0.6616948720638549,0.1442573114071493,1.098673533273962,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,1.0,starter,,curated,1.0,False,2026,,,,,,,,,,,,,13.779722233164795,9.117971540149435,1.9878256812936737,15.139416113444934,Jacoby Brissett
00-0033119,ARI,QB,False,ACT,13.779722233164795,13.779722233164795,1.0,False,passing_tds,veteran_model,False,1.6975677667510654,1.0684317707048407,2.4218756201903098,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,1.0,starter,,curated,1.0,False,2026,,,,,,,,,,,,,13.779722233164795,23.584597559125562,14.843904216963583,33.64752969465526,Jacoby Brissett
00-0033119,ARI,QB,False,ACT,13.779722233164795,13.779722233164795,1.0,False,passing_yards,veteran_model,False,254.66264193861923,171.17814924530958,347.43315695690194,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,1.0,starter,,curated,1.0,False,2026,,,,,,,,,,,,,13.779722233164795,3270.3187672245845,2198.230214507222,4461.656271617967,Jacoby Brissett
00-0033119,ARI,QB,False,ACT,13.779722233164795,13.779722233164795,1.0,False,rushing_tds,veteran_model,False,0.076012194053566,0.0,0.2981559978600744,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,1.0,starter,,curated,1.0,False,2026,,,,,,,,,,,,,13.779722233164795,1.0474269203915614,0.0,4.108506832663903,Jacoby Brissett
00-0033119,ARI,QB,False,ACT,13.779722233164795,13.779722233164795,1.0,False,rushing_yards,veteran_model,False,12.282000858031786,1.7360163995218976,23.533399466918997,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,1.0,starter,,curated,1.0,False,2026,,,,,,,,,,,,,13.779722233164795,169.2425602911697,23.92182377763059,324.2837078562522,Jacoby Brissett
00-0035289,ARI,QB,True,ACT,3.083346200948464,3.083346200948464,2.0,False,attempts,veteran_model,True,5.947279161006799,0.0,19.979757105441003,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,2.0,backup,,curated,0.77,True,2026,,,,,,,,,,,,,3.083346200948464,17.107987683680765,0.0,57.47391861540819,Gardner Minshew
00-0035289,ARI,QB,True,ACT,3.083346200948464,3.083346200948464,2.0,False,carries,veteran_model,True,1.3936526277501546,0.0,3.299989376713376,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,2.0,backup,,curated,0.77,True,2026,,,,,,,,,,,,,3.083346200948464,4.297113535215282,0.0,10.175009707859475,Gardner Minshew
