player_id,position,season,fantasy_pts,fantasy_pts_low_raw,fantasy_pts_low,fantasy_pts_high,fantasy_low_floor_applied,pg_attempts,pg_carries,pg_completions,pg_interceptions,pg_passing_tds,pg_passing_yards,pg_receiving_tds,pg_receiving_yards,pg_receptions,pg_rushing_tds,pg_rushing_yards,pg_targets,any_stat_low_n_flag,any_receiving_share_capped,any_receiving_share_normalized,display_name,team,source,low_confidence,rookie_tier,team_changed,roster_status,depth_rank,role,formation_role,depth_chart_status,projected_games,projected_games_raw,role_discount_factor,role_discount_applied,nfl_depth_rank,projected_volume_games,athletic_tier,target_depth_rank,rookie_depth_band,rookie_vacancy_scale,rookie_id_unresolved,rookie_availability_cell_n,rookie_availability_fallback_used,team_pass_attempts_pg_pred,team_passing_yards_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,fantasy_pts_season,fantasy_pts_season_low,fantasy_pts_season_high,team_identity_scale
00-0036355,QB,2026,19.41012538266803,10.618597581820577,10.618597581820577,29.5110552021975,False,31.943792858604347,4.5597396963381165,21.616408563064308,0.6022775955206809,1.770574354801335,238.42407620832068,,,,0.2924659152792569,22.40624614495683,,False,False,False,Justin Herbert,LAC,veteran_model,False,,False,ACT,1.0,starter,,curated,14.906977473536433,14.906977473536433,1.0,False,1.0,14.906977473536433,,,,,,,,34.81078054136303,231.0075612183065,26.604787498731607,118.73875848668648,2025.0,LAC,canonical_source_team_frame,256.71216490297127,165.62727088600212,365.79247960623525,0.8872142594265618
00-0034857,QB,2026,18.955778954310393,10.164251153462939,10.164251153462939,29.05670877383986,False,27.30162077030404,6.089131560753759,16.443915400561004,0.5713656713687033,1.3594063925709845,195.94882150769035,,,,0.5665595214949763,34.23574737486391,,False,False,False,Josh Allen,BUF,veteran_model,False,,False,ACT,1.0,starter,,curated,14.054539056616983,14.054539056616983,1.0,False,1.0,14.054539056616983,,,,,,,,33.21002626467289,231.99810200162543,27.995140482336904,133.52540408900225,2025.0,BUF,canonical_source_team_frame,247.06986697377033,158.97688514803397,352.404039594349,0.9273881430014835
00-0036971,QB,2026,18.71504880834977,9.923521007502318,9.923521007502318,28.815978627879243,False,30.993919803863218,3.871564184360902,20.75222034843043,0.6110947353111241,1.7967524911371808,227.14149600080856,,,,0.2975997285789055,18.78970102917523,,False,False,False,Trevor Lawrence,JAX,veteran_model,False,,False,ACT,1.0,starter,,curated,15.315024381648376,15.315024381648376,1.0,False,1.0,15.315024381648376,,,,,,,,34.281611997177656,230.8787037290612,27.439030345261777,117.85703830149006,2025.0,JAX,canonical_source_team_frame,255.27571047363398,161.02127949613572,368.04733907853273,0.8906372127833497
00-0039851,QB,2026,18.214899192702777,9.423371391855323,9.423371391855323,28.315829012232243,False,28.32829063176781,5.01393504386697,19.217345530610856,0.6043403509257979,1.56344477700341,224.4557073582642,,,,0.2165582433448286,28.92223032141193,,False,False,False,Drake Maye,NE,veteran_model,False,,False,ACT,1.0,starter,,curated,14.0264439169822,14.0264439169822,1.0,False,1.0,14.0264439169822,,,,,,,,33.746856976402874,243.7564166874116,26.990735238510595,121.6874228230549,2025.0,NE,canonical_source_team_frame,265.34137447157406,165.08912048722956,384.3984676137852,1.038557682845924
00-0033077,QB,2026,17.962946721607473,9.623714495639026,9.623714495639026,28.063876541136942,False,34.696495153087284,2.8175673092169427,23.30016804636849,0.6799009671070478,1.83596928110649,254.84707116891988,,,,0.09245879429666,12.302359188588548,,False,False,False,Dak Prescott,DAL,veteran_model,False,,False,ACT,1.0,starter,,curated,13.11018395144303,13.11018395144303,1.0,False,1.0,13.11018395144303,,,,,,,,34.848900159202955,250.0561914085082,26.916637322594877,120.71500490898477,2025.0,DAL,canonical_source_team_frame,226.2935202456336,145.11412073888522,330.12224156329756,0.9609167223250882
00-0033873,QB,2026,17.510806647780242,8.719278846932784,8.719278846932784,27.61173646730971,False,30.862758099353805,4.563030519281061,19.850298627072608,0.6390966439840551,1.470748449873431,230.21819374255037,,,,0.1903404248771213,25.55235837289885,,False,False,False,Patrick Mahomes,KC,veteran_model,False,,False,ACT,1.0,starter,,curated,15.6095133315482,15.6095133315482,1.0,False,1.0,15.6095133315482,,,,,,,,35.16438169616012,230.57945355267083,25.927946034942902,113.12705785543976,2025.0,KC,canonical_source_team_frame,220.30495402947457,133.3163404007883,325.13846637031315,0.8059883189522719
00-0039139,RB,2026,17.40737258665052,12.816377337882473,12.816377337882473,23.81547871990794,False,,14.95369964851081,,,,,0.1991917908752928,35.96996027582114,4.464996384248497,0.5724221283352501,69.48194851680901,5.529489240179408,False,False,False,Jahmyr Gibbs,DET,veteran_model,False,,False,ACT,1.0,starter,,curated,15.868596027890396,15.868596027890396,1.0,False,1.0,15.868596027890396,,,,,,,,33.92979712201368,246.18859977155995,26.79038838236451,118.19015619651694,2025.0,DET,canonical_source_team_frame,274.10004137890394,201.69371728006405,375.1150702116486,0.9922871601217801
00-0033119,QB,2026,17.337660250545895,9.097107626036012,9.097107626036012,27.43859007007536,False,33.85916876889593,2.5788963219590406,22.615813330422256,0.6616948720638549,1.6975677667510654,254.66264193861923,,,,0.076012194053566,12.282000858031786,,False,False,False,Jacoby Brissett,ARI,veteran_model,False,,False,ACT,1.0,starter,,curated,13.779722233164795,13.779722233164795,1.0,False,1.0,13.779722233164795,,,,,,,,36.21396386313722,240.76907152016224,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,230.1240153966531,145.72135646331893,339.8569491980585,0.9632321990382109
00-0039732,QB,2026,17.305317891863552,8.513790091016094,8.513790091016094,27.40624771139302,False,30.576892542581994,4.040699263198057,20.749102258832345,0.6256326707288247,1.616233432609742,225.36297649621116,,,,0.2037408006315235,18.54685639244647,,False,False,False,Bo Nix,DEN,veteran_model,False,,False,ACT,1.0,starter,,curated,15.44054459068686,15.44054459068686,1.0,False,1.0,15.44054459068686,,,,,,,,34.86578769636352,230.0781619883208,26.560893200255972,117.8845379552942,2025.0,DEN,canonical_source_team_frame,243.32576591012182,146.13128402473828,359.53560350620927,0.9106382822638377
00-0033280,RB,2026,16.756130362593915,12.165135113825865,12.165135113825865,23.164236495851334,False,,16.553919578806553,,,,,0.1991319659173908,33.59122307419014,4.262658893307192,0.561369297772601,67.02671026381353,5.301816371995519,False,False,False,Christian McCaffrey,SF,veteran_model,False,,False,ACT,1.0,starter,,curated,14.327519120543409,14.327519120543409,1.0,False,1.0,14.327519120543409,,,,,,,,34.24811794566182,240.1230793683237,26.942362571611483,112.8480179305098,2025.0,SF,canonical_source_team_frame,250.4379308621126,182.4865588937442,345.48405816461,1.043170698546591
00-0036389,QB,2026,16.656530033158596,7.865002232311141,7.865002232311141,26.75745985268806,False,29.88252427747363,4.309725888921528,18.47190321181252,0.6363967636641609,1.3269388372794115,210.5776156329901,,,,0.3757540566584442,19.43939246099003,,False,False,False,Jalen Hurts,PHI,veteran_model,False,,False,ACT,1.0,starter,,curated,14.624656145227398,14.624656145227398,1.0,False,1.0,14.624656145227398,,,,,,,,32.80438240429993,217.8739687342708,27.51020727894377,118.95507060419128,2025.0,PHI,canonical_source_team_frame,225.24949654815993,132.2524146636005,336.44965941643085,0.924684617445682
00-0026498,QB,2026,16.485435441024862,8.910735991000667,8.910735991000667,26.586365260554327,False,36.13910781437401,2.0064633369997167,25.1043168483212,0.8063777559476032,1.6598403582446333,265.3502771063709,,,,0.0611169343628801,4.781168295094186,,False,False,False,Matthew Stafford,LA,veteran_model,False,,False,ACT,1.0,starter,,curated,13.559418370926062,13.559418370926062,1.0,False,1.0,13.559418370926062,,,,,,,,34.82389907724694,249.40392878109915,26.59195903329525,121.3859631065696,2025.0,LA,canonical_source_team_frame,201.57855567954127,131.87133727459573,304.6983751729017,0.9017846638955912
00-0039163,QB,2026,15.704501242212743,7.061909966994065,7.061909966994065,25.805431061742212,False,30.03139472766518,3.1030564389822497,18.584556745896133,0.6906993644401557,1.515709502133016,221.76204901389957,,,,0.1430186358383651,12.944681869748182,,False,False,False,C.J. Stroud,HOU,veteran_model,False,,False,ACT,1.0,starter,,curated,13.784791211476522,13.784791211476522,1.0,False,1.0,13.784791211476522,,,,,,,,34.321125448974,230.7196594149492,27.0161290584345,113.89625214465636,2025.0,HOU,canonical_source_team_frame,191.9009290529207,108.79229801831927,293.83363636446336,0.8864469223354632
00-0039918,QB,2026,15.660053379075547,7.111116558646861,7.111116558646861,25.760983198605015,False,28.480234965641905,3.93038776895004,18.320994522443968,0.5428230129980227,1.4860087732126763,203.0855808903977,,,,0.1274095600400328,19.137837163647816,,False,False,False,Caleb Williams,CHI,veteran_model,False,,False,ACT,1.0,starter,,curated,14.65351556232956,14.65351556232956,1.0,False,1.0,14.65351556232956,,,,,,,,33.73805380586444,231.6076855324185,27.696271758130365,127.85601286134172,2025.0,CHI,canonical_source_team_frame,218.60147443843437,125.86882248063645,333.4324530836861,0.9526163231961868
00-0039040,RB,2026,15.420195398248792,10.829200149480744,10.829200149480744,21.828301531506213,False,,15.24483644074332,,,,,0.1919641018521623,30.384598573901,3.697912719627713,0.4039384249855693,69.57364020018446,4.744591510858573,False,False,False,De'Von Achane,MIA,veteran_model,False,,False,ACT,1.0,starter,,curated,15.866188966678283,15.866188966678283,1.0,False,1.0,15.866188966678283,,,,,,,,32.35681053457549,214.6121451327766,26.7390775924456,118.26868781082813,2025.0,MIA,canonical_source_team_frame,210.86106625812897,146.19360451102227,300.5199230231476,0.8618543915325323
00-0034855,QB,2026,15.345714840178223,6.5541870393307695,6.5541870393307695,25.446644659707694,False,32.13106494566306,2.719482870807961,19.78062816756427,0.6767700410317757,1.3047880730165045,225.60847975270696,,,,0.1838230590438108,13.528250858046151,,False,False,False,Baker Mayfield,TB,veteran_model,False,,False,ACT,1.0,starter,,curated,14.111791077709055,14.111791077709055,1.0,False,1.0,14.111791077709055,,,,,,,,33.5451456097649,223.7139473344186,27.71485631665953,117.7146256375168,2025.0,TB,canonical_source_team_frame,205.39337044296838,112.4964330708997,316.2806080072555,0.9484559376326692
00-0038542,RB,2026,15.199103361016949,10.608108112248903,10.608108112248903,21.60720949427437,False,,14.936057772277138,,,,,0.1938745726319788,27.40546860228291,3.994663649663118,0.418611585007382,67.86307730120936,5.197566615483554,False,False,False,Bijan Robinson,ATL,veteran_model,False,,False,ACT,1.0,starter,,curated,15.74958098568506,15.74958098568506,1.0,False,1.0,15.74958098568506,,,,,,,,33.103579364958776,223.6760928436624,27.565529595779655,121.0212845239931,2025.0,ATL,canonical_source_team_frame,238.67886482905374,166.89997790972586,338.9143467487305,0.9970730808700096
00-0041027,RB,2026,15.148135870177805,6.74686783176845,6.74686783176845,22.555054878876092,False,,16.128539408517216,,,,,0.1387980851343135,24.79725836328859,3.2652215377994667,0.5022906861419415,71.89266637291682,4.377575657881974,True,False,False,Jeremiyah Love,ARI,rookie_rule,True,drafted,False,,1.0,starter,,rookie_path,15.125,15.125,1.0,False,1.0,15.125,above_median,1.0,rank_1,1.0024268349689045,False,8.0,False,,,,,,,,233.2905561381392,103.41281675548964,347.9789601750201,1.0182222507809908
00-0039075,WR,2026,15.07700319943011,12.09689139138243,12.09689139138243,19.185757281517233,False,,,,,,,0.5683172558961207,80.75471540207808,7.183256247691153,,,10.09187284379746,False,False,False,Puka Nacua,LA,veteran_model,False,,False,ACT,2.0,starter,RWR,curated,14.813217073136606,14.813217073136606,1.0,False,1.0,14.813217073136606,,,,,,,,34.82389907724694,249.40392878109915,26.59195903329525,121.3859631065696,2025.0,LA,canonical_source_team_frame,250.64079815143035,201.53721541574933,318.15194294693146,1.1222441516173163
