player_id,position,season,fantasy_pts,fantasy_pts_low_raw,fantasy_pts_low,fantasy_pts_high,fantasy_low_floor_applied,pg_attempts,pg_carries,pg_completions,pg_interceptions,pg_passing_tds,pg_passing_yards,pg_receiving_tds,pg_receiving_yards,pg_receptions,pg_rushing_tds,pg_rushing_yards,pg_targets,any_stat_low_n_flag,any_stat_constraint_applied,normalization_scale_attempts,normalization_scale_passing_yards,normalization_scale_receiving_yards,normalization_scale_carries,normalization_scale_rushing_yards,normalization_scale_receptions,normalization_scale_receiving_tds,any_receiving_share_capped,any_receiving_share_normalized,display_name,team,source,low_confidence,rookie_tier,team_changed,roster_status,depth_rank,role,depth_chart_status,projected_games,projected_games_raw,role_discount_factor,role_discount_applied,nfl_depth_rank,projected_volume_games,team_qb_raw_appearance_games,team_qb_volume_allocation_direction,team_qb_roster_resolved,qb_volume_games_scale,qb_volume_allocation_adjusted,team_qb_attempt_anchor_fully_allocated,athletic_tier,target_depth_rank,rookie_depth_band,rookie_vacancy_scale,rookie_id_unresolved,rookie_availability_cell_n,rookie_availability_fallback_used,team_pass_catch_ratio_pre_normalization,team_pass_catch_pre_normalization_flag,team_pass_catch_ratio,team_pass_catch_coherence_flag,team_pass_attempts_pg_pred,team_passing_yards_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,team_unmodeled_qb_volume_games,team_unmodeled_qb_attempts_season,team_unmodeled_qb_completions_season,team_unmodeled_qb_passing_yards_season,team_unmodeled_qb_passing_tds_season,team_unmodeled_receiving_yards_season,team_unmodeled_receptions_season,team_unmodeled_receiving_tds_season,team_unmodeled_carries_season,team_unmodeled_rushing_yards_season,coherence_receiver_exposure_basis,fantasy_pts_season,fantasy_pts_season_low,fantasy_pts_season_high
00-0036223,RB,2026,23.694741727609074,15.94236721416032,15.94236721416032,34.585995946409135,False,,24.747905540860557,,,,,0.3256299190513038,38.96328319956701,3.803450832483372,0.892926893862237,105.8534711392944,5.713544804585873,False,False,,,1.3722105155206668,1.0,1.0,0.8841281376870248,1.4524833275090547,False,False,Jonathan Taylor,IND,veteran_model,False,,False,ACT,1.0,starter,curated,13.1097949844553,13.1097949844553,1.0,False,1.0,13.1097949844553,19.84324060600303,downward,True,,False,True,,,,,,,,1.063365758051494,False,1.0,False,33.819686508835005,234.02693422664208,26.500800154053703,117.38636019360476,2025.0,IND,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,12.808347075641905,4.483245462566401,0.7305406690868033,11.46097992425831,120.07461649400534,projected_games,310.6332062585732,209.00116574454358,453.41531619062584
00-0034857,QB,2026,21.75908414964293,11.31423891589824,11.31423891589824,33.70887159443235,False,33.21002626467289,5.215914489367723,20.002580320824244,0.6950162084709004,1.65359860432725,267.2559652216371,,,,0.4853115732137479,29.326141011277613,,False,False,1.2164122615312063,1.3639069792065486,,1.0,1.0,,,False,False,Josh Allen,BUF,veteran_model,False,,False,ACT,1.0,starter,curated,14.054539056616983,14.054539056616983,1.0,False,1.0,14.054539056616983,19.01578702789744,downward,True,1.0,False,True,,,,,,,,0.99618292473888,False,1.0,False,33.21002626467289,231.99810200162543,27.995140482336904,133.52540408900225,2025.0,BUF,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,12.560567963380436,0.0,0.7135780591042966,13.03559842533724,100.22559293720268,projected_games,305.8138980173721,159.01641273938762,473.7626523784363
00-0036971,QB,2026,21.014737855881666,11.107281640567898,11.107281640567898,32.40672655094115,False,34.281611997177656,4.6493659403560805,22.95352025709741,0.675916848918307,1.987343715990698,250.4103034676243,,,,0.3573878608297909,22.564573860717715,,False,False,1.1060753920162316,1.1024419046123255,,1.0,1.0,,,False,False,Trevor Lawrence,JAX,veteran_model,False,,False,ACT,1.0,starter,curated,15.315024381648376,15.315024381648376,1.0,False,1.0,15.315024381648376,20.447386102692004,downward,True,1.0,False,True,,,,,,,,1.057063686622646,False,1.0000000000000002,False,34.281611997177656,230.8787037290612,27.439030345261777,117.85703830149006,2025.0,JAX,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,16.927363224453075,4.70672738067509,1.3305118562723308,11.258386585447226,53.31662550880401,projected_games,321.8412226367768,170.10828913913272,496.30980725707553
00-0039851,QB,2026,20.572735395975908,10.632041174268762,10.632041174268762,31.976329291504733,False,33.74685697640288,4.840268075315077,22.89319251618991,0.7199370993776517,1.862496680998843,262.9058322528714,,,,0.2090573456850908,27.92045506510438,,False,False,1.1912775611867874,1.171303841399921,,1.0,1.0,,,False,False,Drake Maye,NE,veteran_model,False,,False,ACT,1.0,starter,curated,14.0264439169822,14.0264439169822,1.0,False,1.0,15.551692764502928,15.452369842908125,upward,True,1.1087409507747057,True,True,,,,,,,,1.0915732309508293,False,1.0000000000000002,False,33.746856976402874,243.7564166874116,26.990735238510595,121.6874228230549,2025.0,NE,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,14.12568898115842,4.578403375106973,0.4677684912188624,13.699227541399011,75.26549184616147,projected_games,319.9408602036318,165.34623780177273,497.28604887805716
00-0037248,RB,2026,20.508515922612897,13.721127444912335,13.721127444912335,30.129127904548174,False,,22.691065941824,,,,,0.1681491210507673,27.899619139349863,2.291701349002919,0.8480683298247295,104.7539862892347,3.810391767765904,False,False,,,1.230693576444453,1.0,1.0,0.7989171968301036,1.959975633296813,False,False,James Cook,BUF,veteran_model,False,,False,ACT,1.0,starter,curated,14.193594715728404,14.193594715728404,1.0,False,1.0,14.193594715728404,19.01578702789744,downward,True,,False,True,,,,,,,,0.99618292473888,False,1.0,False,33.21002626467289,231.99810200162543,27.995140482336904,133.52540408900225,2025.0,BUF,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,12.560567963380436,0.0,0.7135780591042966,13.03559842533724,100.22559293720268,projected_games,291.0895632266302,194.7521219959437,427.64063061550013
00-0036355,QB,2026,20.340225712763772,11.140403140402848,11.140403140402848,30.900309043891564,False,34.81078054136303,4.305375791492293,23.556503071255797,0.6563326182164032,1.92948519200508,254.0603389205848,,,,0.2761507795041855,21.156319473277527,,False,False,1.0897510103277055,1.0655817271515904,,1.0,1.0,,,False,False,Justin Herbert,LAC,veteran_model,False,,False,ACT,1.0,starter,curated,14.906977473536433,14.906977473536433,1.0,False,1.0,14.906977473536433,18.04537148794628,downward,True,1.0,False,True,,,,,,,,1.0900225749401915,False,1.0,False,34.81078054136303,231.0075612183065,26.604787498731607,118.73875848668648,2025.0,LAC,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,15.45733254470406,4.892156137224504,0.456522175657561,15.057215300275857,20.41955389016425,projected_games,303.21128650681607,166.06973866009977,460.63021084260566
00-0032764,RB,2026,20.231450336526514,13.416472111326577,13.416472111326577,30.253418381620648,False,,21.12730751410553,,,,,0.1103194349198873,21.595369850566,1.7030339246570074,0.9942416140190464,105.93030095507808,2.962006639061925,False,False,,,1.235342005015942,1.0,0.9444816145691294,0.7079926507163318,1.7671740838892904,False,False,Derrick Henry,BAL,veteran_model,False,,False,ACT,1.0,starter,curated,15.041647400656554,15.041647400656554,1.0,False,1.0,15.041647400656554,19.733606676463477,downward,True,,False,True,,,,,,,,1.0753826714017531,False,1.0,False,31.3716833460928,213.64210242557775,28.058067379544,132.6208163798309,2025.0,BAL,canonical_source_team_frame,0.0,1.1368683772161605e-13,6.602180159456901e-14,9.094947017729282e-13,5.4078306787621866e-15,11.334043321433455,0.0,0.7021130254898686,8.215814101218598,0.0,projected_games,304.3143423659262,201.80584285931656,455.0612519608794
00-0033077,QB,2026,19.984792201479703,10.715006193357368,10.715006193357368,31.291698228743975,False,34.848900159202955,3.5378778615280453,23.40251447179085,0.6828874448648965,1.844033810629736,293.32777856934814,,,,0.1160958676570672,15.447454999742238,,False,False,1.0043925187671905,1.1509952899357518,,1.0,1.0,,,False,False,Dak Prescott,DAL,veteran_model,False,,False,ACT,1.0,starter,curated,13.11018395144303,13.11018395144303,1.0,False,1.0,13.628559731128524,16.42968787388365,upward,True,1.039539931827458,True,True,,,,,,,,1.1157758786731076,False,0.9999999999999998,False,34.848900159202955,250.0561914085082,26.916637322594877,120.71500490898477,2025.0,DAL,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,32.92970243820582,0.0,0.4224823800742179,12.745997325086591,31.32663648477228,projected_games,272.36393423205766,146.03010192558295,426.4607783988859
00-0036997,RB,2026,19.90728300650072,11.03342842793558,11.03342842793558,32.48970524797727,False,,18.697601852028424,,,,,0.2618572037428101,36.773614732510985,3.491367359162819,0.6243789402817292,91.66820989520976,5.501803182103119,False,False,,,1.12513444986284,1.0,1.0,0.7785444369194313,1.794874112455663,False,False,Javonte Williams,DAL,veteran_model,False,,False,ACT,1.0,starter,curated,13.236296491405112,13.236296491405112,1.0,False,1.0,13.236296491405112,16.42968787388365,upward,True,,False,True,,,,,,,,1.1157758786731076,False,0.9999999999999998,False,34.848900159202955,250.0561914085082,26.916637322594877,120.71500490898477,2025.0,DAL,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,32.92970243820582,0.0,0.4224823800742179,12.745997325086591,31.32663648477228,projected_games,263.4987002123541,146.04172998885312,430.0433715805878
00-0033119,QB,2026,19.876976492759677,10.157599370242597,10.157599370242597,32.06780102175983,False,36.21396386313722,4.018888247762068,24.188669611869944,0.7077135989043071,1.8156280852595257,285.12903928510315,,,,0.1184555233055772,19.139966382926016,,False,False,1.0695467484838106,1.1196343410032916,,1.0,1.0,,,False,False,Jacoby Brissett,ARI,veteran_model,False,,False,ACT,1.0,starter,curated,13.779722233164795,13.779722233164795,1.0,False,1.0,13.779722233164795,21.943209545664185,downward,True,1.0,False,True,,,,,,,,1.1669047287718983,False,1.0000000000000002,False,36.21396386313722,240.76907152016224,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,0.0,0.0,0.0,0.0,0.0,9.32771584447255,4.576524776078145,0.1245260164746895,11.196303123631708,47.72512713287165,projected_games,273.89921490537455,139.96889787771264,441.8853907082486
