season,week,gsis_id,player_name,position,team,is_rookie,attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fantasy_points,floor,ceiling,pred_target_share,pred_carry_share,pred_dropback_share,depth_rank,is_out,is_doubtful,is_questionable,play_prob,injury_status,projected_games_estimate,pred_rookie_fp_pg,games_played_prior,veteran_weight,fantasy_points_veteran
2026,1,00-0036355,Justin Herbert,QB,LAC,0,33.17141639433698,21.561420656319036,256.8154146341735,1.9222209011425748,0.6632964022849737,5.343496778117354,27.492579085421372,0.26598682685483316,0.0,0.0,0.0,0.0,20.98008625503843,12.51523331386196,29.79383625503843,0.0,0.1823980081828609,0.97,1.0,false,false,false,1.0,,15.5,,,1.0,20.98008625503843
2026,1,00-0035228,Kyler Murray,QB,MIN,0,32.34766027793661,21.025979180658798,223.87066631499485,1.5241253767134009,0.6699483507401687,6.579384155470823,37.046018934276404,0.41705361840027455,0.0,0.0,0.0,0.0,19.918355061802345,11.453502120625876,28.732105061802343,0.0,0.2394621107588954,0.97,1.0,false,false,false,1.0,,15.0,,,1.0,19.918355061802345
2026,1,00-0034857,Josh Allen,QB,BUF,0,29.624793236088085,19.256115603457257,219.25037405335354,1.4362326084927715,0.633771118611651,7.046387154434654,33.74246815935305,0.5395047588068809,0.0,0.0,0.0,0.0,19.858678527658512,11.393825586482043,28.67242852765851,0.0,0.2379722945271171,0.97,1.0,false,false,false,1.0,,15.55,,,1.0,19.858678527658512
2026,1,00-0034796,Lamar Jackson,QB,BAL,0,29.88379302976631,19.424465469348103,244.96136630423467,1.680768689624666,0.7064386555584787,5.29536777219452,26.90571659470892,0.23185101804040875,0.0,0.0,0.0,0.0,19.19032986726444,10.72547692608797,28.004079867264437,0.0,0.17403352599450725,0.97,1.0,false,false,false,1.0,,15.0,,,1.0,19.19032986726444
2026,1,00-0040691,Jaxson Dart,QB,NYG,0,31.4142353202663,20.419252958173097,215.93514084937684,1.4452568174943727,0.7137636801412486,5.754349236628366,31.47134328159685,0.4390565588717307,0.0,0.0,0.0,0.0,18.77237922506014,10.30752628388367,27.58612922506014,0.0,0.20576543733090666,0.97,1.0,false,false,false,1.0,,15.0,,,1.0,18.77237922506014
2026,1,00-0036389,Jalen Hurts,QB,PHI,0,31.16155643760773,20.255011684445023,230.0106369648013,1.6140224929761509,0.6977990564422152,6.090219049930679,30.19856359530394,0.23737308086245423,0.0,0.0,0.0,0.0,18.705012182317347,10.240159241140878,27.518762182317346,0.0,0.21010336951147024,0.97,1.0,false,false,false,1.0,,15.4,,,1.0,18.705012182317347
2026,1,00-0033873,Patrick Mahomes,QB,KC,0,33.004499659438586,21.452924778635083,233.50190798358673,1.4707445308728593,0.44124791327861707,4.2676617449001055,16.34565807659992,0.45182764602604997,0.0,0.0,0.0,0.0,18.686090300093966,10.221237358917497,27.499840300093965,0.005172413793103448,0.15815791133726217,0.97,1.0,false,false,false,1.0,,15.0,,,1.0,18.686090300093966
2026,1,00-0036442,Joe Burrow,QB,CIN,0,37.58178371767632,24.42815941648961,282.0845993767945,2.0205117492361664,0.8556420605957303,1.6725280713901733,7.3815363928436115,0.03458373222765481,0.0,0.0,0.0,0.0,18.599802883475274,10.134949942298805,27.413552883475276,0.0,0.06729063984308244,0.97,1.0,false,false,false,1.0,,15.0,,,1.0,18.599802883475274
2026,1,00-0040743,Tyler Shough,QB,NO,0,34.3640127815199,22.336608307987934,250.3541511800191,1.4900567864356566,0.8765252579402604,4.163934405576549,22.04590369967814,0.3491878312636708,0.0,0.0,0.0,0.0,18.521060034612706,10.056207093436237,27.33481003461271,0.0,0.1708965016003024,0.97,1.0,false,false,false,1.0,,15.0,,,1.0,18.521060034612706
2026,1,00-0036971,Trevor Lawrence,QB,JAX,0,31.095017310818513,20.211761252032034,231.48817069254773,1.5001259170684376,0.7056857554283299,5.030282086402928,26.804366249889778,0.32246206248701204,0.0,0.0,0.0,0.0,18.463867985030053,9.999015043853584,27.277617985030055,0.0,0.1718583322859289,0.97,1.0,false,false,false,1.0,,15.0,,,1.0,18.463867985030053
2026,1,00-0037834,Brock Purdy,QB,SF,0,32.98940192818309,21.44311125331901,245.63400282076773,1.5205899835012626,0.8180039977053261,3.42214538398697,19.377977948484578,0.34212998104181985,0.0,0.0,0.0,0.0,18.262289732524486,9.797436791348018,27.076039732524485,0.0,0.13064418455959448,0.97,1.0,false,false,false,1.0,,15.0,,,1.0,18.262289732524486
2026,1,00-0039150,Bryce Young,QB,CAR,0,32.55067255815149,21.15793716279847,225.36685270983668,1.5207846165340229,0.7416498486266044,4.945990202619371,24.002526703087398,0.36515555089220764,0.0,0.0,0.0,0.0,18.20569885293834,9.740845911761872,27.01944885293834,0.0,0.18716713140548233,0.97,1.0,false,false,false,1.0,,15.2,,,1.0,18.20569885293834
2026,1,00-0039851,Drake Maye,QB,NE,0,30.27998164615418,19.68198807000022,240.10518328450172,1.2330747495372025,0.815357775283957,5.823772795517048,31.299312683277446,0.3035777593728634,0.0,0.0,0.0,0.0,17.85718860352589,9.392335662349423,26.67093860352589,0.000980392156862745,0.20584724686790573,0.97,1.0,false,false,false,1.0,,15.32,,,1.0,17.85718860352589
2026,1,00-0033106,Jared Goff,QB,DET,0,34.66567405607732,22.53268813645026,270.9727855988151,1.9659568300761374,0.8153497088104177,1.3670413442005764,6.8564571601957525,0.011998938138254712,0.0,0.0,0.0,0.0,17.82967867148542,9.364825730308953,26.643428671485424,0.0,0.04936363376983487,0.97,1.0,false,false,false,1.0,,16.0,,,1.0,17.82967867148542
2026,1,00-0033077,Dak Prescott,QB,DAL,0,34.39246261109568,22.355100697212194,260.29069475339065,1.7242047686928637,0.7845367943278027,2.695430774144681,11.413701560247725,0.08778447437258932,0.0,0.0,0.0,0.0,17.407450278511785,8.942597337335316,26.221200278511787,0.0,0.10026900002132588,0.97,1.0,false,false,false,1.0,,15.0,,,1.0,17.407450278511785
2026,1,00-0034855,Baker Mayfield,QB,TB,0,33.58517442886318,21.83036337876107,241.75815640723246,1.6769125669102827,0.7454694421690579,3.098017581367372,17.75030803973082,0.08555949769332137,0.0,0.0,0.0,0.0,17.175425429725323,8.710572488548854,25.98917542972532,0.0,0.1199060894436596,0.97,1.0,false,false,false,1.0,,16.0,,,1.0,17.175425429725323
